,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
2783,1310035145404096512,2020-09-27 01:54:52,"Battle of the Titans! @SamsungMobileUS @Mobvoi_Official  #GalaxyWatch3 #ticwatchpro3 
https://t.co/8zWnEoCGxg",Jabber_Tech1,,,"New York, USA",en
6278,1310036072483762177,2020-09-27 01:58:33,"@TMobileHelp @MikeSievert @techcrunch is it normal for a cell phone company to recommend phones that have issues with their services?  @Samsung are you working with @tmobile to resolve this or not?  They told me that they are working with you.
#tmobile #samsung #5g",jason_mongaras,,,"Round Rock, TX",en
6912,1310037314060640256,2020-09-27 02:03:29,"@HBOMaxHelp I am constantly getting “Something went wrong” errors while trying to watch on my Samsung TV. Or something will take forever to load, and when it does, no audio. Help!",carojdavis,,,"Washington, DC",en
3370,1310037667019661320,2020-09-27 02:04:53,@ATT @SamsungMobile got the new s20. Both mine and my wife's cracked right on the screen near the volume and lock button. Only option is to replace device for $250. @Verizon can you help me out of this contract?,nic_and_rachael,,,"Texas, USA",en
1725,1310037962369966081,2020-09-27 02:06:04,Watching @MKBHD on a Samsung 4K screen is quite the experience,VasylShevtsov,,,"West St Paul, MN",en
294,1310040755772112896,2020-09-27 02:17:10,"Now that I'm officially part of @TMobile I'll be taking so many pictures for you guys to celebrate😁 Here's a sneak peek of a high resolution #108MP photo from my @SamsungMobileUS
Galaxy S20 Ultra
#withgalaxy #samsungmembers #tmobile 

Buy the S20 series⬇️
https://t.co/IR5h5xW3fa https://t.co/o0R4AcoPAD",Flash_snaps,,,"San Jose, CA",en
5115,1310042403081007106,2020-09-27 02:23:42,"Galaxy J2 Core Spotted on Bluetooth SIG Listing, Expected to.... #gadgets_review #wireless https://t.co/qOaz869VKW https://t.co/zy5wy04KzB",berrydoro,,,"Vermont, USA",en
3411,1310045704962928643,2020-09-27 02:36:50,"#ObserveTheMoon 🔭
Celestron Power Seeker 127E Telescope
Samsung S20 5G camera (Pro)
@NASA @Celestron @SamsungMobileUS #Telescope https://t.co/VoOD8WkOLB",AbuXena,,,"Michigan, USA",en
4965,1310045760600313863,2020-09-27 02:37:03,First time I've seen a Samsung Galaxy Watch firmware update. Sorry for the crappy image https://t.co/bOQqlDPIqe,Ryan_Salinger,,,"Millbury, MA",en
684,1310049301771489280,2020-09-27 02:51:07,I can't believe I just let sprint talk me into upgrading to the samsung galaxy S20 FE. It better be a good phone too,Demaru84,,,"Florida, USA",en
293,1310049525994672128,2020-09-27 02:52:01,Really thinking about going to Samsung or a different phone,Ohh_That_Ivan,,"Palmdale, CA","Palmdale, CA",en
292,1310050215462928385,2020-09-27 02:54:45,"Sky Lit up this evening.. took this shot with the #Samsung phone in panoramic mode. #cellphonephotography #sfbay #bayarea #bayareabuzz #sunset @ Union City, California https://t.co/bRckuvIt9L",krazycamera,"[-122.046, 37.5922]","Union City, CA",Globe Trotter,en
1575,1310051016893706240,2020-09-27 02:57:56,Neighbor's tv hella loud... Samsung @BTS_twt Dynamite phone commercial came on lmaooooo 🕺,9_de_octubre,,,MIA,en
2780,1310061390200152065,2020-09-27 03:39:09,Check out what I just added to my closet on Poshmark: Brand new (unlocked Samsung galaxy J3 mobile phone. https://t.co/010OGGljHA via @poshmarkapp #shopmycloset,BrandonAtherley,,,New York,en
6710,1310062935709036545,2020-09-27 03:45:18,@bts_bighit so i lost my old phone so I was doing some research about my carrier cellcom based out of green bay.malaysia owns celcom only one L.I got a Samsung that I know is made in Korea.Can u view my messages?when bts came on the TV I was like oh yea this is Samsung commercial,BreannaLefebvre,,"Wisconsin, USA",,en
682,1310063331307327488,2020-09-27 03:46:52,"@RolandZenbeats I just upgraded my Zenbeats on Android. For some reason ""ZC1"" doesn't show up on my tablet install but on my phone it's there. The tablet is the Samsung Tab A 2019, the phone is the Note 20 Ultra.",PhilNolan3D,,,"Lansdale, PA",en
6170,1310071497353035776,2020-09-27 04:19:19,@CarterCritiques ... the penguins and how much he loved the team. And that changed my mind. I think he genuinely actually loved playing for penguins. Btw i hate autocorrect so much on my new Samsung phone....,Markustehk,,,Sweden,en
291,1310075653690138624,2020-09-27 04:35:50,Oy... I should have brought my Samsung phone so that I can get reception...,kaleidavescope,,,"San Francisco, CA",en
84,1310077813400141824,2020-09-27 04:44:25,"Finally just got a new fucking phone.. 

*Samsung Note 20 Ultra* 

Which was a complete fuckup. Hit the wrong phone when I was ordering online.  

Fuck it! This phone seems to be better anyways.  
🍀🍀🍀🍀",Dawn_Ashes,,,"Northport, AL",en
6459,1310081975504363520,2020-09-27 05:00:57,"Was SO confused but excited- hubs &amp; I were watching the Stanley Cup (if not familiar, hockey tournament, big event on a major US network) &amp; a Samsung ad played w/Dynamite as the background music. Plus in one screen it showed BTS singing #BTS_Dynamite on the phone screens!☺️ https://t.co/W6lkapNVla",BTSFan_2020,,,"Washington, USA",en
2463,1310083278880280576,2020-09-27 05:06:08,"Source: The source link is a PDF link, but Twitter is concerned about the link's safety. 

Therefore, below is a link to the Google Search page where the PDF link to 'The Billboard: The World's Famous Amusement Weekly' can be found. 

https://t.co/SjpvftYZ8o",historologist,,"Houston, TX","Houston, Tx ",en
136,1310087037865787392,2020-09-27 05:21:04,Let’s all say a prayer to the Samsung TV Gods that my TV picture comes in focus sharp tomorrow morning. Don’t know what happened but all the sudden the screen got scrambly #OodhamTVProblems,damascus485,,"Arizona, USA",Kaij Mek ,en
2258,1310092913452503040,2020-09-27 05:44:25,"@nPerf @rkeradec
Please fix 5G Mapping bug on Samsung S20+
See Video
https://t.co/jxAUvKJFWj",SteveOStereo,,,USA,en
5114,1310093108537745408,2020-09-27 05:45:12,"Samsung watch active 2 bands compatible with Gear S2 Classic/Gear 
US ONLY,
10dollars com*miss*ion,
PM me, if you INTERESTED.
#AmazonDeals #amazonreviewer #amazontester #AmazonReview #reviewer #tester #Review #Amazonprime #Reviews #samsungwatchbands https://t.co/Zg565KRKUS",HyNz3gqelZjRTSt,,,American,en
6073,1310095042556702730,2020-09-27 05:52:53,@NerdyNetty Samsung Ultra Note20 has the best camera I've ever experienced.,almostADORNO,,,"Raleigh, NC",en
6277,1310095575266848768,2020-09-27 05:55:00,My friend got the Samsung S20 phone and BTS ain’t lying. Those pictures come out sooo good 😌 https://t.co/gMnucXNJb2,jimin93park,,,"Austin, TX",en
290,1310096978995372032,2020-09-27 06:00:34,"My laptop the Mac air on a 55 inch Samsung is working pretty good, it’s a curved screen. https://t.co/y0fkcksVn2",POTUSWayne,,,"Sonoma County, CA",en
3410,1310099659835101184,2020-09-27 06:11:14,who has Samsung M11 as their phone rn? is it good??,eribee04,,,cosmos,en
110,1310103886984863745,2020-09-27 06:28:01,The Samsung tv plex app does not work. So as a work around I’ve learned how to cast my phone to the tv and run plex off my phone via the mobile website. Only downside is it projects the whole phone screen. Even the control bar. #G1CLIMAX30 https://t.co/OkzrU7ybpO,JoeGilbert1992,,,Missouri,en
3841,1310106126482984960,2020-09-27 06:36:55,Why Samsung's Transparent Phone will fail. https://t.co/QworVK1Ky2,Newsaroundworl1,,,USA,en
4126,1310115005556285441,2020-09-27 07:12:12,"How to reset Samsung A01 - máster reset in English and Spanish
https://t.co/M2KRsfqNNe",jnav_flix,,,"Worcester, MA",en
4961,1310115490245808130,2020-09-27 07:14:08,Samsung Galaxy A72 Will be Company’s First Penta-Camera Phone: Report https://t.co/n1roYtxisb,ViralMNews,,,New York,en
4960,1310115495786491904,2020-09-27 07:14:09,The All New Samsung Galaxy F Series Promises to Bring the #FullOn Experience to India Soon! https://t.co/50MX4aDk4m,ViralMNews,,,New York,en
3633,1310121426771415040,2020-09-27 07:37:43,@Samsung_Pak Best phone of the year,Technew31596920,,,"California, USA",en
6072,1310124888926101504,2020-09-27 07:51:29,@TFT &amp; @PlayRuneterra will you be updating your phone app so it has full screen on the new Samsung Galaxy Z Fold 2?.. almost any other game supports the phone now. #SamsungGalaxyZFold2,DvalinDK,,,Denmark,en
4959,1310141333143724033,2020-09-27 08:56:49,"@RaspPhi314 @iambrina @iAm_erica clearly... any other phone than these two...
you'd better get a Samsung Galaxy 10 or above...",jaymelbe,,,NJ,en
83,1310147714479423492,2020-09-27 09:22:11,@SamsungMobileKE Thank you Team Samsung Mobile Kenya for your intervention.  I received my Memorycard.,AmakaClifford,,,"Minnesota, USA",en
3368,1310154935724584960,2020-09-27 09:50:52,So glad this Samsung phone of mine is HD/UHD capable bc thats what Namjoon deserves https://t.co/jHvXbYmtq1,FiestyLilBTS7,,,"Texas, USA",en
2776,1310157721325449216,2020-09-27 10:01:56,#beauty #fashion #music #crazy #shopping #love #womensfashion FLOVEME Shockproof Case for Samsung Galaxy S10 Plus S10e S8 S9 Plus Soft Silicone Phone Cases for Samsung Note 9 8 S7 Back Cover https://t.co/YFz5iYaVZf https://t.co/IB4bKkbVlE,tuneotune,,,"Hartford, Connecticut",en
314,1310160505865084929,2020-09-27 10:13:00,I recon I was around him around this time... love you brother RIP. https://t.co/ichu5Zu7CA https://t.co/y1cvA1I0NE,RyanRomero710,,,"Fort Collins, Co",en
2256,1310160612115255297,2020-09-27 10:13:26,"#GIC #VIEW #BTC #THETA The world's largest smartphone maker, Samsung, has integrated the Gemini exchange into its Blockchain Wallet on Galaxy smartphones in the US and Canada. (U...Read more: https://t.co/zpaav3ySqA",webnowcompany,,,USA,en
4615,1310163876156071938,2020-09-27 10:26:24,@EuSou0Batman @SnazzyQ @UniverseIce Crap! If Samsung did that no one buy their Phone including me!,Devendras4,,,"Las Vegas, NV ",en
6623,1310170409816526848,2020-09-27 10:52:22,"@HenshawKate @OkeStalyf In my experience, if your Samsung isn't a mobile device, it probably won't be worth your while.",jimmy2time,,,"Nanaimo, British Columbia",en
2045,1310172582520344578,2020-09-27 11:01:00,#BestPriceGuarantee Samsung Galaxy M10 M105M 16GB Unlocked GSM Phone w/Dual 13 MP &amp;amp; 5 MP Camera - Ocean Blue https://t.co/cMZ8L1hHrW https://t.co/PxSOewBJcW,eDigiNext1,,,Wyoming,en
2255,1310173852211666944,2020-09-27 11:06:02,@SnazzyQ Samsung Galaxy Watch 3  might change your mind IMO! 🤷‍♂️,DexMan35,,,United States,en
2350,1310183165550620673,2020-09-27 11:43:03,"@ASB_YT @SamsungUK @SamsungMobile Have to say my Huawei P30 Pro camera 📷📱 is stunning! 
Much better than my Note 20 Ultra. 
But i still love it lol! 👍🏻😀",SusanAmeyHope77,,,Berkshire,en
288,1310190115717656576,2020-09-27 12:10:40,@EmmyFutz Felt that way when I got upgraded my phone to the Galaxy Samsung S20+ after like 3 or 4 years 😅,Critiical,,,"Los Angeles, CA",en
5111,1310191116629741569,2020-09-27 12:14:39,Samsung Galaxy Watch models get ECG feature - https://t.co/tNRWxk1mmY,QZSmith,,,"Avon, Indiana ",en
6276,1310197493271994368,2020-09-27 12:39:59,"Great chance to #win Samsung Galaxy S10 Plus! Be an owner of the beautiful phone.

Offer Link&gt;&gt;&gt;&gt;https://t.co/D9sMdpWXgU

#samsunggalaxys10plusgiftcardgiveways #samsunggalaxys10plusgiftcardcomp #samsunggalaxys10plusgiftcardcodes #samsunggalaxys10plusiftcardswap",LLLLaughOutLoud,,,"Arizona, USA",en
6289,1310198326789193734,2020-09-27 12:43:18,@Frixky9 @MitanshuPandya1 @welfordian @MKBHD 2K. No Samsung phone has 4K screen,mirr_aamirr,,,Kashmir,en
6070,1310204200995950592,2020-09-27 13:06:38,"#Samsung S20 FE Pre-Order is now upon us! Come order the latest #5G device with me today so you can get it for free when you AAL to your account! Send me a DM so we can set
up an appointment! #NERocks https://t.co/gW7uJCwGaU",annaj_allison,,,"Charlotte, NC",en
2254,1310206564675051523,2020-09-27 13:16:02,"@tyler_casper @kareksen1 The first Samsung flip phone, with a pull out antenna.",Un_Apologetic33,,,United States,en
6907,1310207310090952706,2020-09-27 13:18:59,@abacjourn Do you really care that much about pictures? If you did the newest Samsung note is the best camera on the market by far,whatsthetruth11,,,Washington DC.,en
2042,1310211217819086851,2020-09-27 13:34:31,"""...this latest Note device turns my handwritten notes into text."" 'Latest'....said as though the other Samsung Note models could not do this exact thing. *Rolls eyes* Is that what you were going for? #o2 #Advertising @O2 @SamsungMobile https://t.co/BkYBNG560b",JintoLyn,,,"Dayton, Ohio",en
2253,1310214454358020097,2020-09-27 13:47:23,Every Samsung Galaxy A series of 2020 Latest A Series https://t.co/4FFvnVCahw via @YouTube,hassujohn,,,united states,en
5611,1310215705040740353,2020-09-27 13:52:21,@MissDimples767 Not all at once hahaha. I also had a Samsung sliding phone that got crushed under a bus tire when I stepped out the bus.,CaribbeanGunner,,,Dominica,en
6708,1310217554258849792,2020-09-27 13:59:42,#BestPriceGuarantee Samsung Galaxy Note 9 Dual SIM 128 GB Ocean Blue 6.4-Inch Sim-Free Smartphone https://t.co/aNMMVl7X38 https://t.co/a3Aqp3tthr,eDigiNext1,,,Wyoming,en
3630,1310219139080957953,2020-09-27 14:06:00,@Argos_Online Hi. Ordered Samsung Note 10 plus 5g from Argos Bristol Cribbs. For full price paid by PayPal. Went to pick up and noticed this device has no plastic film around and manufacturer sticker has been cut.,KRZYSZTOF_UK,,,South Wales,en
1849,1310222266123333632,2020-09-27 14:18:25,"Samsungs flagship soundbar, the HW-Q950T with separate 2-channel rear speakers, tested in combination with a gigantic 65 inch 8K screen. Why the huge screen? Well, some new soundbars FROM Samsung work in conjunction with the top speakers on the back of t… https://t.co/xIJU7dJNcD https://t.co/l5ux8ClTvU",jamiebiese,,,Belgium,en
5958,1310222358381125632,2020-09-27 14:18:47,"@notsocoolyogi you are right!
just samsung went in a hurry and made it for real real 
https://t.co/2PmLxQhedt https://t.co/gqLyXyNRhk",snappercayt,,,"New York, USA",en
6904,1310222698342219780,2020-09-27 14:20:08,@Argos_Online samsung does not sell mobile devices with argos stickers on. Regards,KRZYSZTOF_UK,,,South Wales,en
287,1310225420407566336,2020-09-27 14:30:57,Samsung French Door Refrigerator Icing Up https://t.co/IAzR2YDPQk via @YouTube@ @FridgeRecall,coachjeff24,,,94111,en
3836,1310225490578374657,2020-09-27 14:31:14,@IamTheMoose76 @JezCorden @robeytech @XboxGamePass @SamsungMobile Don't get the duo... its outdated and bad designe overall! It's a failure cause of it's price. It should be a 700$ phone not 1400.,NHH_Gaming,,,United States,en
6452,1310225565107064832,2020-09-27 14:31:32,"#Samsung S20 FE Pre-Order is now upon us! Come order the
latest #5G device with me today so you can get it for free
when you AAL to your account! Send me a DM so we can set
up an appointment! #NERocks https://t.co/AHE6LyBVuK",TMobile9354,,,"Cary, NC",en
286,1310226021925281793,2020-09-27 14:33:21,How To Stop Noise From Samsung Refrigerator RS261MD ** https://t.co/E9saw0NEqU via @YouTube @FridgeRecall,coachjeff24,,,94111,en
6275,1310226919200378883,2020-09-27 14:36:55,"Last night's sunset at Doorkijkkerk ""Reading between the lines"" near Borgloon, Belgium.  Unedited photo shot from my Samsung S9. I can't wait to edit the photos in my camera. #photohour #sunset https://t.co/D0rM8sN9mX",MikeShanafoss,,,"Arizona, USA",en
285,1310227357966295041,2020-09-27 14:38:39,Samsung French door 4 door bottom glass removal cleaning and reinstallation https://t.co/oL7X1x1O8h via @YouTube. @FridgeRecall  @SamsungUS,coachjeff24,,,94111,en
4956,1310228708578471937,2020-09-27 14:44:01,@salemsayed @MyTekReview @SamsungMobileUS @Josh_Quinonez @itssamsungval @tkdsl8655 @mkostial05 Looks good but not for the Galaxy Watch 3,iamwaynegilbert,,,"Brooklyn, NY",en
2773,1310230936370450432,2020-09-27 14:52:52,@iamwaynegilbert @salemsayed @SamsungMobileUS @Josh_Quinonez @itssamsungval @tkdsl8655 @mkostial05 The one that he posted says Galaxy Watch but it does say if it works with 45mm .. most of them if they are 46mm it will work.,MyTekReview,,,"Bridgeport, CT",en
1848,1310232520009580546,2020-09-27 14:59:10,Zendure Superport S4 &amp; Super Tank Pro Super Fast Charger for the Note 20 Ultra https://t.co/bivBZLKxD9 @Zendureofficial @SamsungMobileUS #Note20Ultra #note20 #GalaxyFold2 #superfast,EBPMANReview,,,"Chicago, IL",en
2460,1310232890643550208,2020-09-27 15:00:38,"Experience a stunning, immersive screen that's easy to operate with one hand. 🤳🏻 All with the Samsung Galaxy S8. 

Don’t miss our deals! Shop yours now!
🌐: https://t.co/w7Z4OA3yJo https://t.co/MZ1ogciR75",LSCRonline,,,"Houston, Texas",en
2347,1310235103918989312,2020-09-27 15:09:26,Samsung Galaxy M51 vs Realme 7 Pro - Review Specifications https://t.co/07qt3VQ0hj via @YouTube,StarRadcliffe,,,English,en
673,1310237922541604864,2020-09-27 15:20:38,"@hansdickie Bless your heart, Hanna, but it’s not as simple as rotisserie chicken and leather pants.  There needs to be a big screen TV, preferably Samsung.",rikee69,,,"Bristol, PA",en
1108,1310238111729946624,2020-09-27 15:21:23,@SamsungMobileUS @CNET It's the best phone bar none.... Love this S20ULTRA 5G🙋🏾‍♀️🤗✊🏾,Lipsle2,,"Virginia, USA",RVA,en
2251,1310238161176375296,2020-09-27 15:21:35,"I'm no Christian Cooper (thankfully)...but I got this fancy new Samsung phone...and a hummingbird took a few seconds to chill for my first nature pic.
#birds https://t.co/zGpHzlChwm",FunqSir,,,United States,en
