,Unnamed: 0,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
44,2472,1307348977856192512,2020-09-19 16:01:00,"@itssamsungval @SamsungMobileUS If you are someone who works with Office 365 and PDF files like I do on a daily basis , that Z Fold 2 is definitely the device for you. You can't beat that big screen for multi tasking.",mkostial05,,,"St Louis, MO",en,positive
46,8762,1307350612267294720,2020-09-19 16:07:30,@SamsungUS you robbed me with your active 2. Had it in the water for 15 mins using all recommendations. And now you want $$ to repair it - that couldn't even work as advertised? Fix it under warranty! I didn't spend $180 just to be given the middle finger by you! Fix my watch!,phillipneibaur,,,"Orem, Utah",en,negative
53,3198,1307363987978440705,2020-09-19 17:00:39,@akheio I'm stuck between a PS5 and a Samsung Galaxy s10. My current phone is on its last leg!!,GrimmSage91,,,East Coast USA,en,neutral
57,5509,1307367290552418305,2020-09-19 17:13:46,@itssamsungval @SamsungMobileUS You should do it. I'll take a Samsung shirt as well if it's no trouble lol. Really though its a nice device especially if you maximize the ability of it.,SSGphoneguru,,,United States,en,positive
58,9375,1307367905634529280,2020-09-19 17:16:13,@koonbey1 @_seyiiee 😂 😂 😂 My Samsung's phone screen broke a day before the screen guard and extra pouch got delivered.,theprincelyx,,,Home,en,negative
60,2233,1307372486393290752,2020-09-19 17:34:25,@SamsungMobileUS So long as you let @SamsungMobileUS install what they want whenever they want onto YOUR device. They can (and DO) take control when you're using your phone to install whatever software &amp; changes they like. @SamsungMobile hates freedom and doesn't believe you own your phone.,tcallen07,,,Ohio,en,negative
63,8360,1307379026458279936,2020-09-19 18:00:24,"@SamsungUS simply removes services. My S8+ works great, Samsung wants me to buy a new phone, they disable Bixby services like turning Do Not Disturb off because your device no can no longer use the newest patched software.",matwood17,,,"Augusta, GA USA",en,negative
68,9237,1307386719302545408,2020-09-19 18:30:58,@SamsungMobileUS @SamsungMobile @SamsungSupport  just got my Fold 2 and within 12 hours it has cracked from a 1 foot drop... How can u sell a $2000 phone with no cases available to purchase. Poor excuse for a company. I can and u tell me oh well us ur insurance. GARBAGE!!!!,Jeffrepko,,,Cheshire CT,en,negative
70,1967,1307388581724467200,2020-09-19 18:38:22,@iAm_erica I'm rocking mine like it is because its the only phone now since I trades my Note 10 + 5G. Waiting on the Samsung aramid case I ordered from mobilefun. I just ordered the Spiegen though armor from Amazon but it won't ship until the 20th.,Mag_D_L,,,"New Port Richey, FL",en,neutral
71,532,1307391982960955394,2020-09-19 18:51:53,This galaxy fold 2 is top tier!! Best phone hands down! Ive always had iPhones and use to make fun of android but nothing beats this! @SamsungMobile,or3oow,,,LA/bakersfield ,en,positive
81,9515,1307412522681733129,2020-09-19 20:13:30,god I hate guests that take away or try to limit what we can do with their phone when we are required by our partnerships to do to make sure the phone works... Bruh I can't give you your phone back repaired if I don't have your s-pen so samsung can tell me it works properly,SnowytheGryph,,,"Wisconsin, USA",en,negative
82,3195,1307412713845354496,2020-09-19 20:14:16,"With up to two days worth of battery and a gorgeous AMOLED screen to boot, the Samsung Galaxy M31 SM-M315F/DSN 128GB 6GB RAM Dual SIM (factory unlocked) 6.4 is arguably the perfect phone for content junkies on a budget. #technology 
https://t.co/83fEMJcXmj",shopinbrand,,,USA,en,positive
85,7264,1307419615086227456,2020-09-19 20:41:41,"How To Setup Samsung Pay On Your Galaxy Watch 3
https://t.co/McJ1tlEHay https://t.co/BnkMCo6NwL",MT_TechRunin247,,"Fort Worth, TX",,en,neutral
87,9235,1307421730378584066,2020-09-19 20:50:05,"I did a hard reset on my two devices. 
My Samsung Galaxy Tablet and My ZTE Phone from 2018",richardkarnjr,,,"Dedham, MA",en,neutral
88,4871,1307422810957062144,2020-09-19 20:54:23,"@TeamYouTube The problem is that the casting icon doesn't show up at all when using Youtube Music on my phone. Interestingly enough, the cast icon shows up on my Samsung tablet which is running Android 10 so it may be a bug when YTM is used with Android 11.",le_avion,,,"Illinois, USA",en,neutral
91,9891,1307426051899834368,2020-09-19 21:07:16,@realJoeHussey @SamsungMobileUS I use PowerDirector. I have a couple of tutorial videos out. Probably going to make one with this device since the app has been updated,Josh_Quinonez,,,"California, USA",en,neutral
94,6477,1307432520749785088,2020-09-19 21:32:58,Removing my AP G Suite account from the phone did the trick. It no longer answers the hotword when I'm talking to the smart display. Some idiot at Samsung has broken this on basically all their phones.,RDRv3,,,"Bay Area, CA",en,negative
98,9233,1307443881240399874,2020-09-19 22:18:07,"@colleenkiernxn Except if I posted it, it would be an actual Samsung phone",MaxWinebach,,,"Connecticut, USA",en,neutral
100,1965,1307445684946251780,2020-09-19 22:25:17,"The Samsung Galaxy Watch Active2 is insanely good. While not as feature-packed as Series 6, arguably better than Series 5. Case in point: Been using it all day, including three workouts, and it's sitting at 80% battery life.",danielsweb,,,"Miami, FL",en,positive
102,5505,1307446542744334344,2020-09-19 22:28:41,"If you care about #privacy, do this: Settings- Developer options- Quick settings developer tiles- Sensors Off. Turn it on in quick settings. This will disable camera, mic, gyro, and other sensors. So no one can spy on you. Works on a few #Samsung  devices. #privacymatters",Hamza__Tech,,,United States,en,neutral
103,2230,1307449432036855809,2020-09-19 22:40:10,@MallamRetweet @fheerdausy @__usyy @ArewaFactsZone @__DANEJO @Eishaaat @lukxybea Samsung camera never disappoints😩🔥🔥🙅,areesha_bee,,,"Blue Earth, MN",en,positive
104,3542,1307450498774175746,2020-09-19 22:44:24,"Here’s my final review (already posted a first look a few weeks back) of the Samsung Galaxy Tab S7+ premium Android tablet with OLED display, S Pen and optional keyboard case. https://t.co/xHd4Htc5fH https://t.co/036qNuWvfE",lisagade,,,"Dallas, Texas",en,neutral
108,3192,1307455915260432385,2020-09-19 23:05:56,@SamsungSupport The camera's of Note 20 Ultra is bad.,PatelAryanG,,,USA,en,negative
109,8761,1307456283721654272,2020-09-19 23:07:24,"@SamsungUS you sold me a watch that does not work in water, even with clear advertising that it does. I'm prepared to complain to @bbb_us and keep fighting for a warranty fix or replacement. Please help me out here.",phillipneibaur,,,"Orem, Utah",en,negative
111,9231,1307459394817458177,2020-09-19 23:19:45,my grandpa has a phone i can pick up next week to upgrade to a samsung galaxt s9....Poggers,meicoomonvm,,,"schenectady, ny",en,neutral
117,4747,1307475244970586118,2020-09-20 00:22:44,"Hey @SamsungSupport, what gives with the ""too cold to charge your phone"" crap??

Phone is dead, can't get her to charge, had to move to my old device.

The hell??",DataArchDad,,,"Michigan, USA",en,negative
120,4746,1307480187404255233,2020-09-20 00:42:23,@SamsungSupport It has 1% remaining. When I tried to plug the phone in earlier I had the same problem. It then started working. At 36% I tried again. Got this issue. Phone then rapidly declined to 5% in a matter of seconds.,DataArchDad,,,"Michigan, USA",en,negative
121,4745,1307480982161895431,2020-09-20 00:45:32,"@SamsungSupport Also, I did turn the phone all they way off and tried to charge, hardwired and on the pad. Has a Temperature icon on the panel",DataArchDad,,,"Michigan, USA",en,neutral
122,9888,1307481756153438208,2020-09-20 00:48:37,So I did a thing.... @Verizon thank you for great @VZWSupport getting me this killer @samsung Tab s7 over the phone!!! We'll unbox this bad boy tomorrow live on air!  #5g #teamandroid https://t.co/mw7mlAZifs,L8sleeperGaming,,,"Washington, USA",en,positive
123,527,1307482135310159873,2020-09-20 00:50:07,@bamafitnessnerd I've been debating doing the same since I've had a Samsung Galaxy device since 2010. I'll stay tuned in to see how this goes for you,conspiracylife,,"Oakland, CA","Oakland, CA",en,neutral
127,4462,1307488758670012421,2020-09-20 01:16:26,"Have been playing with the new Z Fold2 phone this weekend... it's really wicked awesome (and foldable):
https://t.co/HgPJuCQ4fu
#samsung #galaxy #ZFold2 @Samsung",afalk,,,"Marblehead, MA",en,positive
129,5502,1307489982400135169,2020-09-20 01:21:18,"@theGroovyWeezel @ATT Yeah it happens, but nice man.  Yeah I use to have a Samsung myself a while back. That phone your buddy has looks like a damn weapon haha It's pretty sweet looking.",TheCrypticWolf1,,,United States,en,positive
135,9228,1307503580207878154,2020-09-20 02:15:20,"can my phone's gps work pls, why'd samsung have to break it",elysio2,,,"Longueuil, Québec",en,negative
141,2463,1307514239746277376,2020-09-20 02:57:41,@Gtcyr @neontaster Lol. My phone (Samsung) records in a square. Doesn't matter which way I turn it.,Ratat0sk,,,"Ohio, USA",en,neutral
145,525,1307519373653860352,2020-09-20 03:18:05,"@Vyyyper They sold out so I get it on Tuesday but I tried it out for a long time at the Samsung Experience Store and I have to say it's the most impressive phone I have ever held. Including the crazy concept ones at CES2020 I played with. ""Solid"" is the best word I can think of.",DaPoetsTerrence,,,Los Angeles,en,positive
147,5499,1307528764000292864,2020-09-20 03:55:24,"@Vyyyper @SamsungMobileUS The best selling phone of 2019 was 749.99, I think 1,500 is a tad high for a device that wants to “game over” the entire industry.",4evrNemptyBliss,,,United States,en,positive
149,2461,1307536296399831040,2020-09-20 04:25:20,@AppetizersKing That’s so 32 cubic foot Samsung smart fridge with a built in 12” tv screen of me,CamFrent,,"Vernon Hills, IL","Vernon Hills, IL",en,neutral
150,9226,1307538265264726017,2020-09-20 04:33:09,@jiminlicious08 Waitttt hun is that a Samsung how? how did you do the pics on the apps? This is what my screen looks like but I dont know how to change the apps https://t.co/yOX8OJFNDf,holyauhoe,,,wherever the wind takes me,en,neutral
152,524,1307546682339373056,2020-09-20 05:06:36,So happy i own a Samsung phone 😎,ItsJustMatthewR,,,"Los Angeles, CA",en,positive
154,4669,1307558046344847374,2020-09-20 05:51:46,Well it looks like several weeks later and numerous hours on the phone with #att and #Samsung still no answer on why no one can help me with the brand new phone I paid $1300 for. Thanks for nothing. Two billion dollar companies stealing from the working man #att #thief #Chi,natalie68791318,,,"Chicago, IL",en,negative
155,7164,1307561450760699904,2020-09-20 06:05:17,"Kotaku: The Samsung Galaxy Note 20 Ultra Is My New Favorite Gaming Phone.
https://t.co/6m9KePiEia

via @GoogleNews",NathanJDilla,,,"Texas, USA",en,positive
156,1962,1307564139355701248,2020-09-20 06:15:58,"Thank you @SamsungMobile for returning my phone with cracks, it gives it character. #phonestillnotwork",TheMobilityMom,,,"Lake Butler, FL",en,negative
159,522,1307575762816385027,2020-09-20 07:02:10,"Samsung 25 watt charging isn't the end of the story on the Note 20. I think it only works from 0-50%. BOO! I never let me phone get that low anyways, so 18 watt slow charging sucks coming from 30 watt VOOC on the OP7 Pro that went from 0-80% at full power.",YFS36517624,,,"Los Angeles, California",en,negative
162,4460,1307578979956727809,2020-09-20 07:14:57,There's a watch face i recently downloaded.  The trial period has ended but my Samsung pay is not working. 🙄,iphieajike,,,Where He Leads Me,en,negative
165,9074,1307588163464916995,2020-09-20 07:51:26,@SamsungMobile My brand new Galaxy S20+ left me stranded today in a city I was visiting because of a GPS issue I now know has been known about for awhile. I was fully lost and the gps on my phone would not connect .... Google maps was useless. Did I waste $1000?,StevenJKatz,,,"Rockville, MD",en,negative
173,3181,1307623660740587520,2020-09-20 10:12:29,"@Vyyyper @SamsungMobileUS I do not expect the Z fold to drop that low in price only go up. Samsung is marketing it as a luxury device,  they seem to want it to hold value. Besides R&amp;D will not be cheap for that, so expect at least $2500-$3000 for the next fold",SSGphoneguru,,,United States,en,neutral
177,6415,1307644207398629377,2020-09-20 11:34:08,"@its_shevi @SamsungMobile @SamsungCanada Ilove Samsung mobile Too
Can you give me old device from yours send me if you can
(ahmedalrshefsead@gmail.com)",Ahmed07770478,,,Sudan,en,positive
178,2128,1307650709316345858,2020-09-20 11:59:58,@gavinsgadgets @nirave @GR36 @MaxWinebach @SamsungUK @SamsungMobile Ok yours is same. Seems pretty bad for a £1800 phone?,wildlime,,,The Moon,en,negative
179,8723,1307651305167618049,2020-09-20 12:02:20,"@stellergreen Lmao  Samsung quality isn't bad, its actually real good, but..
The thing is, the back camera takes forever to focus, why the front has this stupid beauty filter, it's real bad, bas you can take selfies with snapchat or ig",memizxx_,,,Sudan,en,negative
181,4458,1307658015064064001,2020-09-20 12:29:00,"@TankSchottle You should sew what Samsung swipe does to text messages.  Google voice-to-text is also fun to watch.  Proofreading is not easy, especially your own writing. Text-lish and Twitterese are their own dialects.",JohnECapobianco,,,Long Island,en,neutral
182,4950,1307665799985889281,2020-09-20 12:59:56,@nirave @gavinsgadgets @technologytonic @GR36 @MaxWinebach @SamsungUK @SamsungMobile Yours is perfect except gap at camera?,wildlime,,,The Moon,en,positive
183,3358,1307669635538522122,2020-09-20 13:15:11,"@UniverseIce Samsung store in the UK refused to place a screen protector, even if I buy it from there. I don't think they had a machine",Aaliyah63230851,,,Ireland,en,negative
185,2841,1307670171444707331,2020-09-20 13:17:18,@SamsungSupport @SamsungUS @SamsungUK @SamsungAU @SamsungDK @SamsungFR @SamsungTV @SamsungIndia @SamsungSA @SamsungPH I am tired of owning a QLED 90r and the hw-90r sound bar and having a sound delay when I watch blu-rays off of my Xbox.  Please release the eArc update for q90r!!,The_Dude_Dallas,,,Texas,en,negative
186,1961,1307670766339661825,2020-09-20 13:19:40,Up early looking for what phone I'm going to get next. I've been with the Samsung Note for almost 3 years..,justpaulplease,,,"Tampa, FL",en,neutral
191,518,1307690645272711169,2020-09-20 14:38:40,@lysensational @ArtronicsYT @TechQuotesDaily Also fyi people can recognize a brand from the logo on the back lol. For example most Android phones nowadays look exactly like the Samsung Galaxy S10+ the only difference is the back bc of the logo &amp; camera setup,Flash_snaps,,,"San Jose, CA",en,neutral
192,2840,1307691061666603010,2020-09-20 14:40:19,@TheRealAndiLand Samsung Galaxy s20 ultra is the route to go 4 different cameras on back can shoot in 4k video and 108mp pictures and front facing 40mp camera ad well. Been very pleased with my ultra!,Jeffpaff17,,,"South Lyon, MI",en,positive
194,124,1307694517051699203,2020-09-20 14:54:03,@alexflorias @denaeboothe I had no idea this wasn’t new. I only ever had a Samsung tablet lol and I never did anything past watch movies on it,cinnamonmontana,,,"Pennsylvania, USA",en,neutral
198,5491,1307704693439815683,2020-09-20 15:34:29,@rmawesome500 Right? The only reason I’m still here is because everything I have works together. But... that’s how they get you locked in. We tried to make the switch back when Samsung had the exploding phone lol,MrsP123,,,USA,en,negative
200,7161,1307706763882491905,2020-09-20 15:42:43,@BearsLoveLogos No rush I’ve needed one for a while I have a Samsung note book I think that’s what they are called no keyboard no drive it’s basically a over sized phone I got it free though a old sprint account and it barely works,joe91009670,,,"Westland, MI",en,negative
204,1960,1307713487519580161,2020-09-20 16:09:26,@aPimpNamedRoryP @OhhJay_Didit I want a Samsung phone but I just can’t.,MsGetChose,,,"Tampa, FL",en,neutral
208,8719,1307718856752984072,2020-09-20 16:30:46,Everyday that goes by I'm more convinced that my @SamsungMobileUS Galaxy S20+ with @sprint is garbage. Shows service when I have none. Has service but shows none. Almost daily restarts to get my phone to function. What's the deal??,xBOB_Ox,,,"San Marcos, TX",en,negative
209,3176,1307719453480607746,2020-09-20 16:33:08,@xBOB_Ox Samsung device are TOP of the line! We want you to enjoy and experience the device to its fullest potential. Let's look into this service issue. Please send us a DM to get started. ^ShariD,sprintcare,,,"Overland Park, KS",en,positive
210,514,1307720314323787776,2020-09-20 16:36:33,"Dawg.. @J_Nova_Kane 

I have a Samsung Galaxy S7 Edge from 2016 and my current phone of nearly 2 years now.. My SG Note 9.. Like longevity. Lol https://t.co/nWiGfnIjwZ",Harlem19therare,,,Central California,en,positive
211,122,1307720328165163008,2020-09-20 16:36:37,"@Night_Ridah @SamsungMobileUS If you change the ratio to full screen you can then zoom 50x....i found it on accident... No flash, those were the only two settings I changed....",meier_ronda72,,,"Theodore, AL",en,neutral
213,513,1307724308538519552,2020-09-20 16:52:26,@RjeyTech In my experience the Samsung Watch is more accurate.,tech702mike,,,"Las Vegas, NV",en,positive
215,9221,1307734959046656000,2020-09-20 17:34:45,Fun fact: my eye color matches my samsung phone label- A20 https://t.co/YwvQcZmhtA,EthanPalombo,,,"East Providence, RI",en,neutral
216,9366,1307737626552578048,2020-09-20 17:45:21,"@SamsungMobile I was wondering why all of a sudden, my phone lost the option to mute the camera shutter sound. Apparently, in some parts of the world it's not allowed to have it turned off anymore...for privacy reasons, I guess???",thekatcloset,,,"Vancouver, British Columbia",en,neutral
217,8350,1307740970373517313,2020-09-20 17:58:38,Samsung galaxy is an android phone and we've had this the whole time. It's called customizable themes https://t.co/NoUyQHlOLr,kalahp,,"Atlanta, GA","Atlanta, GA",en,neutral
222,9365,1307748546335055872,2020-09-20 18:28:44,"@MrMoKnows I own a Samsung #Note10Plus, but the same actions will work on any phone.",KlatuBaradaNiko,,,"Olympia, WA USA",en,neutral
223,3175,1307748829882658819,2020-09-20 18:29:52,@alexander_d_gr8 @cameronacoe I actually use the tizen apps on our Samsung TV instead of a device like a playstation or a roku etc ... And yeah who would use a big power hog like a ps5 to watch youtube all day lol,compccs1,,,United States,en,neutral
229,512,1307756646333067264,2020-09-20 19:00:56,The newest version of Samsung's folding phone isn't a sequel; it's a reboot. See how Samsung shifted gears in our Galaxy Z Fold 2 video teardown: https://t.co/D8T8DUxDyp https://t.co/svTyAnJPbP,iFixit,,,"San Luis Obispo, CA",en,neutral
231,7159,1307758457131536385,2020-09-20 19:08:07,@sunil_hirgude @SamsungMobile so it had a ton of battery issues and would always die after an hour or so. almost every single time I got a phone call it would ring and vibrate nonstop even when the person would hang up or I would try to answer??? (that happened with 2 phones idk why),folkloreang,,,"New Hampshire, USA",en,negative
232,2122,1307767328180973571,2020-09-20 19:43:22,"@SamsungMobileUS I just got a Galaxy S20 5G (smg98-1u) and I am am working my way through manual. I saw that the camera can read text aloud, but have not yet found out how to do it.  How do I do this?",cubeslave,,,"College Park, GA",en,neutral
236,3173,1307771291395600384,2020-09-20 19:59:07,"@SamsungMobileUS Great phone. Battery life sucks. And fuck this curved screen. Why is Samsung so hell bent to keep giving ""upgrades"" that remove features? Big phone, big display, small battery. Not headphone jack. No IR blaster. No Audio Dac. 120 hz at reduced resolution.",MrBullRun1,,,United States,en,negative
240,118,1307781418634948608,2020-09-20 20:39:22,@MaxTheGod25 Samsung note 3 is my phone &amp; no storange left,KimieChu00,,,Sweden,en,neutral
242,4867,1307782988546142210,2020-09-20 20:45:36,@GravXReviews @SamsungMobileUS Is there a class I can watch on YouTube that shows how to get best angles and lighting.,Justin_N0M4D,,,"Missouri, USA",en,neutral
249,511,1307796756814422016,2020-09-20 21:40:19,Rear camera selfie with @SamsungMobileUS #galaxyfold2 pretty sure this is now the best selfie camera out now. #selfie #babyselfie #GalaxyZFold2 https://t.co/XZyYNuY5CA,Youtubetechguy,,,"Los Angeles, CA",en,positive
254,8717,1307803868017946624,2020-09-20 22:08:34,@avatar_izzy @danielhkwan @Wizards_DnD yea apparently Samsung uses Softbank's emoji database according to Emojipedia cause this is what i saw on my phone https://t.co/nLRVDXaWB2,DarkestArgentum,,,Earth,en,neutral
256,2835,1307807361239781377,2020-09-20 22:22:27,"@syd_asuka415 @yoseikero Samsung isn't the only android phone. Android is the OS, samsung makes phones with Android OS. Just like HTC, Google, lenovo, and many other companies.",ZaliasFGC,,,"Kent, Ohio",en,neutral
257,9873,1307807729386426380,2020-09-20 22:23:55,"If you have a #Samsung phone, don't forget to turn on the built-in Blue Light filter in the settings to protect your eyes. Settings&gt;Display&gt;Blue Light Filter.",galaxyworldwide,,,"Baltimore, MD",en,neutral
258,9872,1307810416526008322,2020-09-20 22:34:35,"For all it offers, this Samsung #smartphone is worth its price. #lifestyle  https://t.co/jdxuccUZrZ https://t.co/ljzt2k5X9e",BrandonCartC21,,,Washington D.C.,en,positive
262,4663,1307825465172819969,2020-09-20 23:34:23,"@MarzGurl Nice, I recently got an XP-Pen 12 Pro for my computer. Using a Samsung S6 Lite and Ipad Mini for more mobile options. 

Takes some adjustment, just remember, undo is your friend.",DRCsyntax,,,"Texas, USA",en,neutral
266,7154,1307832936071180289,2020-09-21 00:04:04,"@SamsungTV this pops up for no reason and stays on the screen for up to 30 minutes 🤬🤬. How do I make it stop?
@SamsungSupport",denisegoducks,,,"Oregon, USA",en,negative
268,7254,1307838933582086144,2020-09-21 00:27:54,@SamsungMobileUS Love that phone,jen4988,,,"Hutchinson,ks",en,positive
272,4661,1307847019071930368,2020-09-21 01:00:02,Samsung dominates the Android phone market in the US.,TidySurveys,,,Chicago,en,positive
276,6473,1307850874316677120,2020-09-21 01:15:21,i’m actually happy about this. I never really used voice assistant screen reader on Samsung. Are used commentary. https://t.co/cbI4ULov4I,ke7zum,,,las Vegas Nevada,en,positive
282,508,1307860757141282818,2020-09-21 01:54:38,"and now I'm back in the nightmare where I'm trying to pull a bluetooth log.
this is a samsung device, and they moved it to a different location, because they hate you",Foone,,,"Milpitas, CA",en,negative
284,5479,1307873965952528384,2020-09-21 02:47:07,My camera fails me when I needed the most the camera on my S9 Samsung S9 plus I am stalked so bad I can't even talk it doesn't RIGHT IT DOWN RIGHT ANYWAY THE EVIL IS SO BAD SO BAD AND ILLEGAL ON THIS PRIVATE LIFE THE CAMERA BLOCKS THE LIGHT THE LIGHT FUNCTION JUST BLOCKED,twitemarti,,,United States ,en,negative
287,9360,1307877319302758400,2020-09-21 03:00:26,"When using the WhatsApp pop up option on a Samsung Galaxy phone, the minimize, maximize, and close buttons not showing up in light mode. Is this a Samsung issue or WhatsApp issue?
@SamsungMobile @WhatsApp",dominicjgt,,,somewhere by the sea,en,negative
288,507,1307881544296480768,2020-09-21 03:17:14,@GregglesTV @SamsungMobileUS can u do me a favor open instagram and go in to the task launcher do you have the option there of making instagram full screen,Tarek53180,,,redwood city,en,neutral
289,9062,1307883116879654913,2020-09-21 03:23:29,I think I’m going to tell my boss to switch my work phone to one of the newer Samsung phones.,chee_beautiful,,,"Salisbury, MD",en,neutral
294,7151,1307896968669278208,2020-09-21 04:18:31,@SamsungMobileUS I'm boutta throw my phone across the room. This the 20th time my phone has been buggy and hasn't given me notifications.... I'm on my second phone too,_ryanburns_,,,"New Hampshire, USA",en,negative
296,6472,1307904818099286017,2020-09-21 04:49:42,"@WholeMarsBlog The ecosystem really seals the deal from what I've heard from friends. I have a Samsung phone and use Google for most things, but am considering switching.",CodingMark,,,"Bay Area, CA, USA",en,negative
299,5171,1307924504694358016,2020-09-21 06:07:56,@swerveconfident @WWENXT Its ironic swerve is talking about a phone then right below is the samsung note 20. https://t.co/gSZheClCHA,deathbat9116,,,"Monroe, NC",en,neutral
301,229,1307926564198211584,2020-09-21 06:16:07,"I'm fortunate enough to have the opportunity to own the Samsung Galaxy Note20, and I'm actually impressed this phone is a legitimate a 2-day phone with 3 hours of screen time per day, and still ending the day with 25%. And I'll still go for a few more hours. Impressive.",Whoa_JG,,,"Tucson, AZ, USA",en,positive
302,9359,1307926836173709313,2020-09-21 06:17:12,@SamsungMobileUS Congrats on the ugliest phone ever made lol...,Christopher_Bry,,,Spokane Washington USA,en,negative
306,8524,1307934830454362113,2020-09-21 06:48:58,Samsung KX launches the ‘Lunch and Listen’ series to mark the release of the Samsung Galaxy Note20 device. https://t.co/3lVBUiOZvy,SustainHealth,,,UK and USA,en,neutral
