,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
5984,1312400819975720960,2020-10-03 14:35:13,"oh hey there guy! I made a video, maybe check it out? K thx 🙋‍♂️

Samsung Galaxy Note 20 Review // cool phone, I don't like it
https://t.co/2XkpBtcYTy https://t.co/oJ5Xl0XDYo",theJaredBusch,,,Victoria B.C. Canada,en
5375,1312401166060445696,2020-10-03 14:36:35,"@jineshjd If you're in the Samsung ecosystem, I would 100% go for the Galaxy Watch 3. I also think the Watch 3 looks much better and the rotating bezel is a feature to make any competitors jealous",MikeOBrienn,,,"Philadelphia, PA",en
67,1312404266510946304,2020-10-03 14:48:55,@StarStatusGroup In the enchanted fairgounds and on my phone samsung galaxy a3,Midnigh08914459,,,On the moon,en
3653,1312405118680170496,2020-10-03 14:52:18,"@BritBox_UK I want to watch Brit box on a tv tonight. I’ve tried the Samsung apps on our Samsung smart tv, itv hub and amazon video and i can’t find a way to subscribe by any of those means. How do I watch spitting image tonight on a tv?",cornishtwinkle,,,Cornwall,en
5655,1312407364893642752,2020-10-03 15:01:13,@SamsungMobileUS @BTS_twt i JUST got a new phone ONE month ago... don’t do this to me 🥺😤,jazminnacole,,,"San Antonio, TX",en
6212,1312407471177240576,2020-10-03 15:01:39,Boy....this new Samsung Note 20 Ultra 5G is greatest phone I've ever owned.,Brew_Krew02,,,"California, USA",en
4551,1312412088002850817,2020-10-03 15:19:59,"@rethornt No, I support Chelsea. In Korea we were Suwon Samsung Bluewings supporters and they were historically friendly with Chelsea, so it solidified then. I watched the Liverpool/Arsenal match last Monday and was overjoyed to watch them get trounced so badly.",NateRethorn,,,"Perrysburg, Ohio",en
5654,1312413250814910470,2020-10-03 15:24:37,"Hey @SamsungMobile, bought a phone which came with the free watch which was “delivered” by @YodelOnline yesterday - nothing on cctv @ time of delivery and nobody will deal with this. 
You say speak to yodel and they say they need the account holder to chase it, sort it out.",funkybokeh,,,scotland,en
4425,1312415961560035328,2020-10-03 15:35:23,"Samsung's making my DREAM PHONE !! 😇😇😇
#GalaxyNote21 #SamsungGalaxy #Samsung https://t.co/1JlOzu8F3T",TechScoreNY,,,"New York, NY",en
613,1312417810287558657,2020-10-03 15:42:44,"@Michell79095370 broke my samsung screen and she's still laughing😡😡😡 

Titans over to you what should be her punishment?😪😪😪😪😪😪😪

#TachaOurBusiness https://t.co/274ttzPsTq",OpeyemiAlimi09,,,"Georgia, USA",en
2081,1312422779875024896,2020-10-03 16:02:29,Thinking of buying SAMSUNG GALAXY S9+ PLUS (G965U1C) 64GB  Straight Talk (Refurbished) Smartphone? Read our latest r https://t.co/Z1Cv3Mmeh5!,iConvertwireles,,,"Nashville, TN",en
1579,1312424120865431553,2020-10-03 16:07:48,@RubinReport @e_porpora The camera on this Samsung Galaxy Tab leaves a LOT to be desired.🙄😡,WilliamFGaines,,,"Louisiana, USA",en
255,1312432028319539200,2020-10-03 16:39:14,"The latest in my @SamsungMobileUS Galaxy S8 journey: I reset the phone, but on restart, it turned off &amp; refused to turn back on til the battery went to 0%. Then I turned it back on &amp; it continued the reset process. 

I install updates, it restarts, &amp; again refuses to turn back on https://t.co/oSBh7FgGkY",PatrickKul,,,"San Francisco, CA",en
5983,1312433498691530752,2020-10-03 16:45:04,"Welp, I've all but removed my phone password thanks to @Samsung bullshit random ""ask for your long ass password all damn day and at the worst moments"" policy.",PerdvertParty,,,"Seattle, WA",en
5653,1312433502944743424,2020-10-03 16:45:05,"This year, #ntfair will have the @Samsung Social Distancing Zone (located in the First United Bank Fun Zone) with big screen TVs streaming all of the rodeo and music action!

Get your tickets: https://t.co/cgtrxotc8n
See our #COVID19 plan: https://t.co/8ALZxuB0AI https://t.co/jODJgcNnBL",NTFAIR,,,"Denton, Tx",en
5652,1312438240213827585,2020-10-03 17:03:55,"@SamsungMobileUS #GalaxyNote20Ultra camera is out of this world! These are some of the best photos I've ever taken, with a cellphone camera. 

@News4SA #Fullmoon over #SanAntonio https://t.co/LP3y3H8gve",mcquadetx,,"San Antonio, TX","San Antonio, TX",en
5982,1312439037156712448,2020-10-03 17:07:05,How to fix performance problems on your Samsung Galaxy S or Note phone https://t.co/Ms07HNsV0r @slideme https://t.co/QwjwZnmCcW,slideme,,,"Seattle, USA",en
4423,1312439175988211714,2020-10-03 17:07:38,@SamsungMobile i cannot stress this enough.  Do not buy a @SamsungMobile product. Nothing but problems since day 1 with my note 20 ultra. No help from @SamsungMobile . Just replace my phone! It's brand new.  $2200 for junk!,joemama72,,,"Cobourg, Ontario",en
2005,1312441822078091264,2020-10-03 17:18:09,"Samsung Galaxy S20 FE Water Test - Is It Water Resistant?

https://t.co/51aaAAE8wx #GalaxyS20FE #Samsung",Tech1Tv2,,,USA,en
3222,1312445131664965632,2020-10-03 17:31:18,@SamsungMobileUS Seriously “all day battery”?  Like wow it’s a phone that can last all day is a selling point?,fierymistress,,,California,en
254,1312448288319139841,2020-10-03 17:43:50,"went ahead and got the samsung s20 fe. first time i've ever had a current phone and it's neat to see how much more it can do over my old dying one

5G is fast! speedtest .net was 130mbps (802.11n, nearly maxing my shitty comcast cable) vs. 241mbps 5G! wow! no wonder 5G causes cv.",starry_gulf,,,"Oakland, CA",en
5981,1312453652716560385,2020-10-03 18:05:09,"All you want, to do all you love. Meet the all-new #GalaxyS20FE 5G. Learn more: https://t.co/181olhkAeI https://t.co/GSsezNYB8z",HariMirchein,,,A city by the sea.,en
1009,1312457354336583680,2020-10-03 18:19:52,"@TheRealEddieQ I have been telling people these Samsung's are just better phones. They don't want to listen, lol. From the processor to the camera, to the functionality as a whole. Amazing creations",Brew_Krew02,,,"California, USA",en
3220,1312459216808865792,2020-10-03 18:27:16,"@slightlyatsea I have a samsung galaxy smart watch and I love it. I have small arms and hands, and it isn't huge on my wrist. https://t.co/low9OdPYOJ",Calichiica,,,"California, USA",en
2975,1312459308743884801,2020-10-03 18:27:38,The barrage of Samsung QLED HD quality TV commercials continue to mock how terrible the BU-WVU camera clarity has been.,truckpoetry,,,Texas,en
2159,1312463008174493696,2020-10-03 18:42:20,If I had a Samsung or any phone with a blurry camera I would never Snapchat again for the rest of my life,BryantMcCraw,,,"Dallas, Texas ",en
4422,1312465129854828544,2020-10-03 18:50:46,@SamsungUS Bought a 75” QLED IN FEB. 2020. I adjusted it on the mount and it’s is now broken. Colored lines going up &amp; down the screen. Samsung says it’s physical damage and NOT UNDER WARRANTY. It is a manufacturing defect. Many reviews say the same thing.,jewels4evr1,,,"Florida, USA",en
1856,1312466230645673984,2020-10-03 18:55:08,@JessicaFEREM @AndroidStud @SamsungMobileUS A red samsung phone would be neat tbth,Tiger_9194,,,"Macomb, MI",en
5461,1312467082181660672,2020-10-03 18:58:31,@niajocelynn It’s not even like a PHONE phone lol it’s a Samsung player,ylleraa,,,"Lawrenceville, GA",en
3367,1312468422656057346,2020-10-03 19:03:51,"@Rd3G4 @OHeylimey @aeriesdreaming @tommyinnit @Dream @Minecraft So yes. You have the beta. Everyone that pressed the little button on the google play mc beta page, is listed as a tester. Samsung is an android device.",neck_pillow1,,,United States,en
1006,1312468680656084993,2020-10-03 19:04:52,@supersat This is a Samsung device you have?,afivegantenna,,,"Washington, USA",en
253,1312469646709202944,2020-10-03 19:08:42,"Hi @sprintcare @SamsungSupport can you please advise how I can block these spam texts? 
This is the 2nd one I've received. 
They come from an email, not a phone number, so as far as I can tell, I am unable to block them. Please help! https://t.co/mSyXjnYpsl",amyzanlungo,,,"Los Angeles, CA",en
4548,1312471053239681025,2020-10-03 19:14:18,"Why cant I upgrade my software on my phone.
@ATT 
@SamsungMobile 
Am I the only Galaxy S10+ stuck forever using android 9? https://t.co/xqTxlVbcIr",RonOfOhio,,"North Madison, OH",North East Ohio,en
I told them we should reschedule.",FK_Chuck,,,"Kentucky, USA",en
5650,1312473961796493313,2020-10-03 19:25:51,"@RAndrewCastel @FennerMichelle @Mizpah175 You should try getting the information yourself.
Call a pharmacy. Any pharmacy.
You can do it with your phone.
My Samsung S7 all I have to do is say ""call a local pharmacy"" then tell it my choice.
Ask for cash price for a vial of humalog insulin. No insurance.
Try it.",CarlisleDB,,,"Spring, Texas",en
5551,1312479058001719296,2020-10-03 19:46:06,"Not sure why exactly, but, every year, around now, I fancy purchasing an #Android device. This year, I fancy the @SamsungMobileUS #Note10 + Ultra",Teecuptech,,,"Atlanta, GA",en
5371,1312484296666406912,2020-10-03 20:06:55,"@SamsungMobileUS

Hi Guys, is this ugly non uniform weird cutout below the screen on Note 20 Ultra normal? Its not a clean cut please confirm if this is normal to have this in Fingerprint Sensor Area? https://t.co/MH3NnyrZdO",warriorvibhu,,,"New York, NY",en
2079,1312488747460558849,2020-10-03 20:24:36,@Jaimlm That moon made me decide to get that Samsung phone with the space zoom. It was so close!,KuronoTaffi,,,"Dayton, Ohio",en
5649,1312488949693124608,2020-10-03 20:25:25,Mmadu ga-eji onu ya kpenye onwe ya na nsogbu. 🥴 Why would you pray for Samsung phone to fall? https://t.co/jvZILynx8J,EmelieASF,,,Earth,en
6206,1312491220212490240,2020-10-03 20:34:26,Na who tf in LA got a Samsung charger my other phone dead af 😂,s1cx2o,,,"California, USA",en
5648,1312492539329429504,2020-10-03 20:39:40,"Thank you for tuning into Game Pink Live and donating to #HelpWomenNow! We are just getting started! 

Up next: @BloodyfasterTV and @breebunn will be playing #grounded and each giving away 2 @SamsungMobileUS Galaxy phones - you don't want to miss this! 

https://t.co/NwlrRcVRXT https://t.co/UrFbiDqUia",NBCF,,,"Frisco, TX, United States",en
4420,1312495519562825734,2020-10-03 20:51:31,"I don't use emojis, but why doesn't my new @SamsungMobile phone have any #BlackEmojis ? It's 2020. #BLM",KenyaBrome,,,New York,en
5459,1312498908862455809,2020-10-03 21:04:59,@TechHighest @contractorspov Well I drive hundreds of miles a day and get in and out of my semi truck. One drop from my steps this phone would be fucking shattered all over and I can't buy a case from even Samsung lol. That's bullshit.,KingTruckerGA,,,"Atlanta, GA",en
3005,1312500686626549760,2020-10-03 21:12:03,@drakaina6600 Do you know if I can use a third party controller ( Sades ) to play COD Mobile using a Samsung Tab s6?,SaltySaidit,,,"West Virginia, USA",en
2003,1312502261348626432,2020-10-03 21:18:18,"@hectorartm Just switched to Verizon from att, have you noticed that when you are using an unlocked Samsung device that they don't give you the option to add the premium streaming for 10 bucks? Wondering if its just me or  if you have seen that too. Love the vids bro!",joe578,,,"Omaha, NE",en
5647,1312506159429902336,2020-10-03 21:33:48,"For my and @OMGchad's little competition, I drove around Texas and built some of my favorite locations in Minecraft on my new @SamsungMobileUS Note20 5G!

https://t.co/eZhj1amsLi

It's Ryguyrocky vs. OMGchad!
Who do you think won?

@GenG #SamsungShowdown #ad",Ryguyrocky,,,"Dallas, TX",en
2156,1312507116507197440,2020-10-03 21:37:36,"For the #SamsungShowdown with @Ryguyrocky, I drove around Texas and built some historic landmarks in Minecraft with my new @SamsungMobileUS Note20 5G!

https://t.co/yZgnBuV1Kw

Who do you think won??

@GenG #ad",OMGchad,,,"Dallas, TX",en
252,1312507764413886465,2020-10-03 21:40:10,@wikipuff88 @ManagerEnrique Zach please stop complaining in my mentions.. a third division soccer league literally has a TV deal that can be accessed on over the air channels in some of the biggest markets in America. Buy a Samsung TV or Roku if you care that much? https://t.co/NcJrB21b8s,nathenmcvittie,,,"Los Angeles, CA",en
3365,1312510193918382080,2020-10-03 21:49:50,@PCMag I have this Samsung phone. It is terrible.,Lewisisthename,,,America,en
2155,1312519636383006720,2020-10-03 22:27:21,Samsung watch band finished up https://t.co/4PtRgM1WTI,db_leather00,,,"College Station, TX",en
5980,1312520078374522880,2020-10-03 22:29:06,"yo @Samsung I absolutely love the Galaxy S10+. I've had it since the week of release and it continues to be an excellent phone.

Good work! Thanks for making such a high-quality device for us.

My first Samsung Phone was the Samsung Omnia, for Verizon, from 2008, lol https://t.co/tbhpM5cZ1H",Klovar,,,Home,en
2001,1312526121175445504,2020-10-03 22:53:07,@MustardPlays @TINARAES @SamsungMobileUS #MustardMonster hey mustard I was wondering if you could come check out a horror map I made so I could submit it in the competition because I dont know how I'm going to take pictures of it or record because I cant really get that into my phone well pls get back to me thanks,Michael31028552,,,United states,en
251,1312528777281327104,2020-10-03 23:03:40,@SamsungMobileUS Honestly I heard you were going to have Theta network on this Phone. That's what I'm looking at,Billybean2000,,,LA California,en
5369,1312531346028331008,2020-10-03 23:13:53,"TOUR* Not type 🤦🏻‍♀️
I seriously can't stand Samsung's auto correct and screen sensitivity.",jai_siara,,,New York City,en
4091,1312532354116640769,2020-10-03 23:17:53,"See each color installed on the Samsung Galaxy Note 20 Ultra
@supcase_atl #supcase @SamsungMobileUS #GalaxyNote20Ultra 

https://t.co/rAv1tEoxGl https://t.co/t4n9p9wX59",contractorspov,,,Area 51,en
1001,1312546272855851008,2020-10-04 00:13:12,@Colteastwood @Under_Ach1ever You will like it. I received mine two weeks ago. Its really nice to play xcloud games on your phone using the attachment. If you have a Samsung Note 20 it works very well but its long. The controls are great and very responsive. The setup is quick/easy and Bluetooth works fine.,MarcusJ33,,,"Takoma Park, MD",en
3104,1312546639144419329,2020-10-04 00:14:39,@hulu_support please help. I just bought Hulu live so my husband can watch sec football LSU. Works on the iPad. Can’t get football on Sony TV.  Also need to sign out of Samsung TV or Fire TV’s. Realized we sold our TV’s,szwilson,,,"Rolla, MO",en
3647,1312547410011459587,2020-10-04 00:17:43,@spook27 Omg. How much are you coughing? Does your phone have a blood oxygen thing? Most samsung do,ADubiousPronoun,,,"Florida, USA",en
5644,1312547700638875650,2020-10-04 00:18:52,@abid_patel you know I was thinking about how the laptops could easily have a fold-out monitor similar to the folding Samsung phone. TV seems like a solution.,schmegini,,,"Fort Worth, TX",en
62,1312551173174505474,2020-10-04 00:32:40,"I have a full service @SamsungMobileUS Galaxy S8+ that is three years old, (with a slightly fractured screen) that still runs as good as new, like I just bought it yesterday on @TMobile who I've had service with since April 2004.",SirDDAVIDD,,"Alabama, USA","Auburn, AL",en
61,1312551188995416069,2020-10-04 00:32:44,"I'm actually considering to purchase a Samsung A10e or A20 through Tracfone to upgrade this flip phone, not that I don't like the flip phone, but the A10e or A20 could be used for a great ""personal media player"" for my music and videos collection.",SirDDAVIDD,,"Alabama, USA","Auburn, AL",en
999,1312551459599388673,2020-10-04 00:33:48,Night mode. From my Samsung S10 ... impressive  #shoton https://t.co/e0pOlIVVn1,your_device,,"Pitman, NJ","New Jersey, USA",en
249,1312553888780742657,2020-10-04 00:43:27,"@LoriiPops Gear S3 Frontier. 
I've loved how rugged/sturdy this watch is. The apps integrate well with my Samsung Galaxy Note20.
The battery life is great, and it charges fast, even after having it for two years. It lasts 2-3 days on a full charge. Also suggests stretching if sedentary.",Frostwh1sper,,,"Moreno Valley, CA",en
998,1312555417847828480,2020-10-04 00:49:32,"@wingedwolf94 Get a samsung. Samsung you can say ""cheese"" and it will start filming. As for the shaky hand. Prop your phone up on a table or shelf 👍",Wolf7TitanExo,,,"California, USA",en
2973,1312557018612465665,2020-10-04 00:55:54,"@Samsung thanks for locking me out of Samsung Pass by demanding that I sign up for 2-step verification and then locking me out of it by not letting me verify my phone number.

Thanks for implementing more mandatory ""features"".

🤬",AcuraTLGTLM,,,"Texas, USA",en
6203,1312561611983396864,2020-10-04 01:14:09,"@leahmcelrath My previous Samsung Galaxy phone had a pulse ox app that was very helpful! They eliminated it on the latest models, so I've kept the old phone specifically so I can use it for pulse ox measurement.",eigenseide,,,Eastern Washington,en
2848,1312561856427503621,2020-10-04 01:15:07,You don't realize how much technology has changed until you have to use a device that's 5 generations old!! I miss my S10+ so much #firstworldproblems #samsung #samsunggalaxy,kendallisbel,,,"Richmond, VA",en
113,1312564856986320896,2020-10-04 01:27:02,"@leahmcelrath Many Samsung phones (specifically S8, s9, s10) have an SpO2 sensor. Can be read in the health app. Pretty close alignment to a finger one I got on Amazon. https://t.co/wCX5sdNuXr",kingsrule5,,,"Phoenix,AZ",en
2885,1312565312831860736,2020-10-04 01:28:51,-- the new Samsung phone looks like my laptop from 2004 https://t.co/PIVpMNmp4B,mtgyakuza,,,"Boston, MA",en
1852,1312566025930629120,2020-10-04 01:31:41,@OnePercentHQ @Formula @ArtesianBuilds Can I have a the pc cause I never used a pc and I want to play games but my dad can’t afford a pc I only have a phone Samsung,PujanPa88941462,,,"Parma, OH",en
5979,1312566993598341122,2020-10-04 01:35:32,I make most of my comic pages these days on my Samsung GalaxyNote 9 with Artflow. There are some touch ups in Photoshop and the words added there. I have a lot of fun just drawing things on my cell phone. https://t.co/R4imJd3TIJ,TeaWitchCrafts,,,"Redmond, WA",en
5978,1312567115501760512,2020-10-04 01:36:01,I know I just stressed out over @RossButler putting fingerprints on his new Samsung phone...lol https://t.co/vtnOFdt8sT,jackie6snyder,,,Home,en
2847,1312573535508860928,2020-10-04 02:01:31,"Once wildly popular, Samsung ends China phone production https://t.co/9h3GGlDtyZ",PieterHCReyneke,,,Korea,en
4416,1312574594507837441,2020-10-04 02:05:44,"@neTurbrye @dicky852hkg @guardianworld I agree. We don’t need them and can build better if not comparable phones here. I don’t have an issue with unfair competition against- hold on. Samsung is a South Korean company. They should be wiped from the map. Thanks, I’ll never encourage anyone to use a Samsung device ever",aca8of,,,"Newark, NJ",en
2078,1312577366103863304,2020-10-04 02:16:45,@MarkC609 @SamsungMobileUS Question for you - you do the samsung Upgrade program or just buy with trade in each time? I just got my Samsung Upgrade unlocked and it's a crap deal compared to new buy w/ trade of my same phone and just keeping the remaining balance and paying it 😂,troyglidden,,,"Murfreesboro, TN",en
1460,1312580056485519361,2020-10-04 02:27:26,Check out what I just added to my closet on Poshmark: New Kate spade phone wrap case Samsung galaxy S7. https://t.co/TEK9xlOnjd via @poshmarkapp #shopmycloset,Jessii_Terra,,,"Orlando, FL",en
4633,1312595818642251776,2020-10-04 03:30:04,The hardest difference between stanning Kpop bands now and stanning kpop bands in 2014 is that I’m forced to just sit and watch Samsung ads with BTS in them at work and remAIN CALM.,theBlackcat96,,,Portland OR,en
4047,1312598033146753024,2020-10-04 03:38:52,#samsung Galaxy Note 9 Teased to Be Faster and Offer.... #technologyintegration #mobile https://t.co/nExhVsJcyu https://t.co/BklZGLMpTv,kieranjoyc,,,"Jersey City, NJ",en
1696,1312598828881776640,2020-10-04 03:42:02,@SamsungMobileUS Like anyone can afford $1000 phone.,mcgillr68,,,Indianapolis,en
4603,1312601102148403200,2020-10-04 03:51:04,Galaxy x BTS: A Piece of Cake 🍰: Microphone control | Samsung https://t.co/yEr5vo3L9A via @YouTube He’s my piece of cake 😋,Jackson42Rachel,,,"Mansfield, TX",en
2972,1312602488135184385,2020-10-04 03:56:34,@stevesaylor @XboxGamePass @steinekin @jeffrubenstein @Xbox I use it on Samsung galaxy z fold 2 ! Best of both worlds phone and tablet!,TheLastAmadeus,,,"Texas, USA",en
5663,1312604950334074886,2020-10-04 04:06:21,"@golfingUte31 @amccullough105 @DBHam2 @tannachris Having an OLED phone is the only way to go. But a few things scare me about it in a TV. The biggest one is Samsung making the decision to not produce them. If the world's leader in OLED production has decided against it, it's a bit of a red flag for me.",Utah_AM,,,"Salt Lake City, UT",en
248,1312608111325192193,2020-10-04 04:18:55,My new phone taking 2 weeks to get here bitch im finna get a Samsung at this point lmfao,jazzyybaaby,,,"Los Angeles, CA",en
5546,1312608890866016256,2020-10-04 04:22:01,@rookiek9 @GOPLeader @IvankaTrump Fake article anyone can write that you do know that right?.  Anyone can set up and write articles like that.  Especially if you have a Samsung phone and are listening to Buzzfeed.,Sarah11890166,,"Tennessee, USA","Tennessee, USA",en
2443,1312618637950251009,2020-10-04 05:00:45,"See everything better on the sAMOLED display of the #GalaxyA31 which is loaded with an Awesome 48MP Quad Camera. Now available at a special price of ₹18999: https://t.co/5UDwVsGGjw 
TnC apply. 
#AwesomeIsForEveryone #Samsung",SamsungGalaxyAD,,,USA 🇺🇸 ,en
5662,1312620423947776003,2020-10-04 05:07:51,@Samsung when will Galaxy Watch 3 get ECG for use with other types of phones other than Galaxy?,RantingRed,,,"Draper, UT",en
5363,1312622255436959744,2020-10-04 05:15:07,"Raise your hand if your Switch charger is also your phone charger 85% of the time. 

Samsung, contact Nintendo cause they have the cord length game on lock, and y'all need to learn.",AdagusTheGoat,,,"Boston, MA",en
2441,1312624535632408576,2020-10-04 05:24:11,"For social loving fans. Scrolling through your feed has never felt smoother with Super Smooth 120Hz. Introducing the #GalaxyS20FE 5G.

Learn more: https://t.co/mmHPipNOGf",SamsungGalaxyAD,,,USA 🇺🇸 ,en
4632,1312628591952240641,2020-10-04 05:40:18,I bought an @OtterBox  for my new samsung galaxy a71 from @BestBuy  and its for my exact phone model but the buttons dont match up so i cant use my home button.  And i can't return it yet because i need a case until i can get a new one so i don't hurt my phone &gt;.&lt; like why?!?,thefoxgirl_,,,"Redmond, OR",en
2971,1312632569473699840,2020-10-04 05:56:06,"@DuckDuckGo .@Walmart's been wacko since June

So I killed my acct, got new Android 9 SNAP EBT phone, set up new acct w new data

Even so, site still glitchy w new Samsung, Firefox or Google browser

Went back to Android 7 phone, used DuckDuckGo w my new acct's data; grocery order works!  🤗",brainoutREAD,,,"Texas, USA",en
4411,1312647295633158145,2020-10-04 06:54:37,"@bcantrill btw, samsung mobile div. can go eat a bag of [expletive]

their ""flagship"" s7 can not even play sound (ANY sound through either speaker or headphones) without dropping samples every now and then. Not many people notice...",8MadStrings,,,Greece,en
5976,1312650541550321666,2020-10-04 07:07:31,"Introducing the Samsung #GalaxyS20FE. A phone inspired by fans, and made for fans of all kinds.
All you want, to do all you love.
Pre-order now and receive benefits up to RRP 20,000 you get Galaxy Fit2 worth 8,700 and get 50% off on screen replacement with Samsung Care https://t.co/UmF7Ffmqvx",HariMirchein,,,A city by the sea.,en
3215,1312661358303993857,2020-10-04 07:50:30,"@nastywomanatlaw Is this a flex or a humblebrag, he asks at 3:49 AM, basking in that calming, soothing glow of a Samsung Galaxy S9+ (in black) screen.",AdamNewshound12,,,"Columbia, SC",en
1848,1312670742664880129,2020-10-04 08:27:47,That new Samsung phone give me big Nintendo ds vibes,badluck_charley,,,"Texas, USA",en
5891,1312678946752917504,2020-10-04 09:00:23,"Y'all are arguably the top dog in the mobile device market, so you can do it. Curious why you haven't 🤷‍♂️

#Samsung",l3p3l,,,Canaan,en
3363,1312682623593074688,2020-10-04 09:15:00,@YouTubeIndia  is there an issue with youtube app for samsung devices. I am unable to watch hd or higher resolutiin videos on my Samsu g Note 10+ the quality is maxed out at 480 P can you please check.,taureanguy19872,,,USA ,en
5361,1312683609786966016,2020-10-04 09:18:55,"@SamsungIndia Iam using samsung ref. product D/D,facing the door problem not fitted properly. I logged the comp.&amp; after sometime technician call to me &amp; informed me on phone there is no solution to fix the problem.This is really pathetic customer service &amp; never seeing in my life",sandeephhp,,,West Delhi ,en
1999,1312684244741713927,2020-10-04 09:21:27,"@c4etechfc  is there an issue with youtube app for samsung devices. I am unable to watch hd or higher resolutiin videos on my Samsu g Note 10+ the quality is maxed out at 480p , just looking for a resolution since yesterday have googled it but no luck....",taureanguy19872,,,USA ,en
3638,1312684816576311296,2020-10-04 09:23:43,"Experience the awesome #GalaxyA51 &amp; #GalaxyA71 that come with an Awesome screen, Awesome Camera and a long-lasting battery. Range starts at ₹21999, inclusive of ₹1000 cashback on ICICI bank cards. Get yours now: https://t.co/Wfyjd1gnAN
#Samsung https://t.co/uWOdoZIdbs",SamsungGalaxyAD,,,USA 🇺🇸 ,en
2841,1312701378561814528,2020-10-04 10:29:32,"@kshbubbletea haha if samsung made a dark/puke green phone, it would've been totes used in the bottom 2 pics. crazy director-nim here with the visuals!",ltung23,,,"Fairfax, VA, USA",en
4090,1312701896361234432,2020-10-04 10:31:35,the amount of storage i would have if samsung just LET ME DELETE APPS THAT CAME WITH THE PHONE PLS I BEG YOU,1ovecheol,,,BiH ,en
