,Unnamed: 0,Unnamed: 0.1,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
15,28,5983,1312433498691530752,2020-10-03 16:45:04,welp  i have all but removed my phone password thanks to bullshit random  ask for your long ass password all damn day and at the worst moments  policy ,PerdvertParty,,,"Seattle, WA",en,negative
16,30,5652,1312438240213827585,2020-10-03 17:03:55,"  galaxynoteultra camera is out of this world  these are some of the best photos i have ever taken  with a cellphone camera      fullmoon over  sanantonio ",mcquadetx,,"San Antonio, TX","San Antonio, TX",en,positive
17,32,4423,1312439175988211714,2020-10-03 17:07:38, i cannot stress this enough   do not buy a product  nothing but problems since day  with my note  ultra  no help from  just replace my phone  it is brand new     for junk ,joemama72,,,"Cobourg, Ontario",en,negative
18,37,1009,1312457354336583680,2020-10-03 18:19:52, i have been telling people these samsung are just better phones  they do not want to listen  lol  from the processor to the camera  to the functionality as a whole  amazing creations,Brew_Krew02,,,"California, USA",en,positive
19,38,3220,1312459216808865792,2020-10-03 18:27:16, i have a samsung galaxy smart watch and i love it  i have small arms and hands  and it is not huge on my wrist  ,Calichiica,,,"California, USA",en,positive
20,39,2975,1312459308743884801,2020-10-03 18:27:38,the barrage of samsung qled hd quality tv commercials continue to mock how terrible the bu wvu camera clarity has been ,truckpoetry,,,Texas,en,negative
21,40,2159,1312463008174493696,2020-10-03 18:42:20,if i had a samsung or any phone with a blurry camera i would never snapchat again for the rest of my life,BryantMcCraw,,,"Dallas, Texas ",en,negative
22,41,4422,1312465129854828544,2020-10-03 18:50:46, bought a   qled in feb    i adjusted it on the mount and it is now broken  colored lines going up  amp  down the screen  samsung says it physical damage and not under warranty  it is a manufacturing defect  many reviews say the same thing ,jewels4evr1,,,"Florida, USA",en,negative
23,42,1856,1312466230645673984,2020-10-03 18:55:08, a red samsung phone would be neat tbth,Tiger_9194,,,"Macomb, MI",en,positive
24,43,5461,1312467082181660672,2020-10-03 18:58:31, it not even like a phone low it a samsung player,ylleraa,,,"Lawrenceville, GA",en,neutral
25,44,3367,1312468422656057346,2020-10-03 19:03:51, so yes  you have the beta  everyone that pressed the little button on the google play mc beta page  is listed as a tester  samsung is an android device ,neck_pillow1,,,United States,en,neutral
26,45,1006,1312468680656084993,2020-10-03 19:04:52, this is a samsung device you have ,afivegantenna,,,"Washington, USA",en,neutral
27,46,253,1312469646709202944,2020-10-03 19:08:42,"hi can you please advise how i can block these spam texts   this is the nd one i have received   they come from an email  not a phone number  so as far as i can tell  i am unable to block them  please help  ",amyzanlungo,,,"Los Angeles, CA",en,negative
28,47,4548,1312471053239681025,2020-10-03 19:14:18,"why cannot i upgrade my software on my phone   am i the only galaxy s  stuck forever using android   ",RonOfOhio,,"North Madison, OH",North East Ohio,en,negative
29,50,5551,1312479058001719296,2020-10-03 19:46:06,not sure why exactly  but  every year  around now  i fancy purchasing an  android device  this year  i fancy the  note   ultra,Teecuptech,,,"Atlanta, GA",en,positive
30,51,5371,1312484296666406912,2020-10-03 20:06:55,"  hi guys  is this ugly non uniform weird cutout below the screen on note  ultra normal  its not a clean cut please confirm if this is normal to have this in fingerprint sensor area  ",warriorvibhu,,,"New York, NY",en,negative
31,52,2079,1312488747460558849,2020-10-03 20:24:36, that moon made me decide to get that samsung phone with the space zoom  it was so close ,KuronoTaffi,,,"Dayton, Ohio",en,positive
32,57,5459,1312498908862455809,2020-10-03 21:04:59, well i drive hundreds of miles a day and get in and out of my semi truck  one drop from my steps this phone would be fucking shattered all over and i cannot buy a case from even samsung low  that is bullshit ,KingTruckerGA,,,"Atlanta, GA",en,negative
33,58,3005,1312500686626549760,2020-10-03 21:12:03, do you know if i can use a third party controller   sades   to play cod mobile using a samsung tab s ,SaltySaidit,,,"West Virginia, USA",en,neutral
34,63,3365,1312510193918382080,2020-10-03 21:49:50, i have this samsung phone  it is terrible ,Lewisisthename,,,America,en,negative
35,65,5980,1312520078374522880,2020-10-03 22:29:06,"yo i absolutely love the galaxy s   i have had it since the week of release and it continues to be an excellent phone   good work  thanks for making such a high quality device for us   my first samsung phone was the samsung romania  for verizon  from   low ",Klovar,,,Home,en,positive
36,66,2001,1312526121175445504,2020-10-03 22:53:07,  mustard monster hey mustard i was wondering if you could come check out a horror map i made so i could submit it in the competition because i do not know how i am going to take pictures of it or record because i cannot really get that into my phone well plus get back to me thanks,Michael31028552,,,United states,en,neutral
37,67,251,1312528777281327104,2020-10-03 23:03:40, honestly i heard you were going to have theta network on this phone  that is what i am looking at,Billybean2000,,,LA California,en,neutral
38,68,5369,1312531346028331008,2020-10-03 23:13:53,"tour  not type  i seriously cannot stand samsung auto correct and screen sensitivity ",jai_siara,,,New York City,en,negative
39,70,1001,1312546272855851008,2020-10-04 00:13:12, you will like it  i received mine two weeks ago  its really nice to play cloud games on your phone using the attachment  if you have a samsung note  it works very well but its long  the controls are great and very responsive  the setup is quick easy and bluetooth works fine ,MarcusJ33,,,"Takoma Park, MD",en,positive
40,72,3647,1312547410011459587,2020-10-04 00:17:43, omg  how much are you coughing  does your phone have a blood oxygen thing  most samsung do,ADubiousPronoun,,,"Florida, USA",en,neutral
41,73,5644,1312547700638875650,2020-10-04 00:18:52, you know i was thinking about how the laptops could easily have a fold out monitor similar to the folding samsung phone  tv seems like a solution ,schmegini,,,"Fort Worth, TX",en,neutral
42,74,62,1312551173174505474,2020-10-04 00:32:40,i have a full service galaxy s  that is three years old   with a slightly fractured screen  that still runs as good as new  like i just bought it yesterday on who i have had service with since april  ,SirDDAVIDD,,"Alabama, USA","Auburn, AL",en,positive
43,75,61,1312551188995416069,2020-10-04 00:32:44,i am actually considering to purchase a samsung ae or a through tracfone to upgrade this flip phone  not that i do not like the flip phone  but the ae or a could be used for a great  personal media player  for my music and videos collection ,SirDDAVIDD,,"Alabama, USA","Auburn, AL",en,positive
44,76,999,1312551459599388673,2020-10-04 00:33:48,night mode  from my samsung s     impressive   shoton ,your_device,,"Pitman, NJ","New Jersey, USA",en,positive
45,77,249,1312553888780742657,2020-10-04 00:43:27," gear s frontier   i have loved how rugged sturdy this watch is  the apps integrate well with my samsung galaxy note  the battery life is great  and it charges fast  even after having it for two years  it lasts   days on a full charge  also suggests stretching if sedentary ",Frostwh1sper,,,"Moreno Valley, CA",en,positive
46,78,998,1312555417847828480,2020-10-04 00:49:32, get a samsung  samsung you can say  cheese  and it will start filming  as for the shaky hand  prop your phone up on a table or shelf ,Wolf7TitanExo,,,"California, USA",en,positive
47,80,6203,1312561611983396864,2020-10-04 01:14:09, my previous samsung galaxy phone had a pulse ox app that was very helpful  they eliminated it on the latest models  so i have kept the old phone specifically so i can use it for pulse ox measurement ,eigenseide,,,Eastern Washington,en,positive
48,82,113,1312564856986320896,2020-10-04 01:27:02, many samsung phones  specifically s  s  s  have an spo sensor  can be read in the health app  pretty close alignment to a finger one i got on amazon  ,kingsrule5,,,"Phoenix,AZ",en,neutral
49,84,1852,1312566025930629120,2020-10-04 01:31:41, can i have a pc because i never used a pc and i want to play games but my dad can t afford a pc i only have a phone samsung,PujanPa88941462,,,"Parma, OH",en,neutral
50,88,4416,1312574594507837441,2020-10-04 02:05:44, i agree  we don t need them and can build better if not comparable phones here  i don t have an issue with unfair competition against  hold on  samsung is a south korean company  they should be wiped from the map  thanks  i ll never encourage anyone to use a samsung device ever,aca8of,,,"Newark, NJ",en,negative
51,89,2078,1312577366103863304,2020-10-04 02:16:45, question for you   you do the samsung upgrade program or just buy with trade in each time  i just got my samsung upgrade unlocked and it is a crap deal compared to new buy w  trade of my same phone and just keeping the remaining balance and paying it ,troyglidden,,,"Murfreesboro, TN",en,negative
52,95,2972,1312602488135184385,2020-10-04 03:56:34, i use it on samsung galaxy z fold    best of both worlds  phone and tablet ,TheLastAmadeus,,,"Texas, USA",en,positive
53,100,5662,1312620423947776003,2020-10-04 05:07:51, when will galaxy watch  get ecg for use with other types of phones other than galaxy ,RantingRed,,,"Draper, UT",en,neutral
54,101,5363,1312622255436959744,2020-10-04 05:15:07,"raise your hand if your switch charger is also your phone charger   of the time    samsung  contact nintendo because they have the cord length game on lock  and you all need to learn ",AdagusTheGoat,,,"Boston, MA",en,neutral
55,105,4411,1312647295633158145,2020-10-04 06:54:37," btw  samsung mobile div  can go eat a bag of  expletive   their  flagship  s can not even play sound  any sound through either speaker or headphones  without dropping samples every now and then  not many people notice   ",8MadStrings,,,Greece,en,negative
56,107,3215,1312661358303993857,2020-10-04 07:50:30, is this a flex or a humblebrag  he asks at   am  basking in that calming  soothing glow of a samsung galaxy s   in black  screen ,AdamNewshound12,,,"Columbia, SC",en,neutral
57,108,1848,1312670742664880129,2020-10-04 08:27:47,that new samsung phone give me big nintendo ds vibes,badluck_charley,,,"Texas, USA",en,neutral
58,109,5891,1312678946752917504,2020-10-04 09:00:23,"you all are arguably the top dog in the mobile device market  so you can do it  curious why you have not    samsung",l3p3l,,,Canaan,en,negative
59,111,5361,1312683609786966016,2020-10-04 09:18:55, iam using samsung ref  product d d facing the door problem not fitted properly  i logged the comp  amp  after sometime technician call to me  amp  informed me on phone there is no solution to fix the problem this is really pathetic customer service  amp  never seeing in my life,sandeephhp,,,West Delhi ,en,negative
60,117,1998,1312716312028774400,2020-10-04 11:28:52, cell phones take amazing pics  downfall is the time it takes to get the camera on and in place if you want a quick snap shop  anyway    i love ur still,ChanteleMilton,,,"Omaha, Ne.",en,positive
61,118,5889,1312717346851545092,2020-10-04 11:32:59,i mean samsung camera can be pretty sometimes ,sylyyyys,,,me is me,en,positive
62,122,246,1312729114210689026,2020-10-04 12:19:44, wow give me the phone,Woh_Bangtan,,,Paradise ,en,positive
63,124,2837,1312731911165554688,2020-10-04 12:30:51, looks like a cool phone  maybe i should check it out   ,JaneenL09698952,,,"Philadelphia, PA",en,positive
64,125,6197,1312734969119174656,2020-10-04 12:43:00, what an excellent camera on that phone  since i cannot have a hook  i would love to have the device he is holding  and some fresh grapes ,KAETHOStv,,,"Utah, USA",en,positive
65,129,1845,1312741770057441286,2020-10-04 13:10:02, they are slower  have ads unless you pay to upgrade to ad free  do not support many of the apps you may way unless you root your device  etc  i got a fired as a gift one year and do not even use it as a paper weight because it sucks so bad  i will stick with samsung galaxy tab ,facepalmtime,,,"Indianapolis, IN",en,negative
66,133,1843,1312751377119170561,2020-10-04 13:48:12, you think samsung delayed their release of their tablets just because of fortunate mobile ,SeagullGFX,,,"Chicago, IL",en,neutral
67,135,4602,1312753570664656897,2020-10-04 13:56:55, if you are using a samsung  send it to secure folder or you can just duplicate  the app and hide one so it dosen t look too suspicious ,AnFCBstan,,,Nowhere,en,neutral
68,136,4538,1312753754379354112,2020-10-04 13:57:39, well my current phone is the galaxy    i finished my plan a few months ago but have not had a chance with the pandemic to update   i am looking at the galaxy    i have had samsung now for the last few years and absolutely love it over the previous that i have had,Raven_Goddess_1,,"Sarnia, Ontario","Ontario, Canada",en,positive
69,137,4537,1312757994795479041,2020-10-04 14:14:30, i love the camera on the samsung  i cannot believe the quality of the pictures i get  although i still cannot get a decent picture of the moon  ,Raven_Goddess_1,,"Sarnia, Ontario","Ontario, Canada",en,positive
70,138,4404,1312758602214539270,2020-10-04 14:16:55, also paypal granted me like   credit no interest loan to buy it with so i can just pay that off over a few weeks easily  now i have everything gaming pc  ps  already got  big screen tvs and an oled samsung tab s and my car and house are all fixed and its just me alone here,CrimsonEnix,,,"Boston, MA",en,neutral
71,145,3360,1312771869809020933,2020-10-04 15:09:38,man  i cannot stop using the sfe  samsung really hit a home run with this phone  honestly the only reason you should not buy it is if you do not like samsung phones  other than that   this phone is flawless ,Marks_Tech,,,United States,en,positive
72,147,1996,1312775286291943425,2020-10-04 15:23:13, i am literally going to go buy this exact phone this week  the  have sold me on this one  bye bye to my old    hello ssamsunggalaxynote  iican t wait  bbtsknow their marketing geniuses ii venever been in my  years convinced into buying so many products  men  aallgreat buys ,JenesisSweetie1,,,USA,en,positive
73,149,5453,1312777615233748992,2020-10-04 15:32:28, samsung camera and amber light from my lamp ,KennethCassel11,,,"South Carolina, USA",en,neutral
74,154,3358,1312786251024658437,2020-10-04 16:06:47, i will just buy a device will not make you understand technology  you have to play and read and learn i am the android educator cut frankly even if people have android devices that does not mean they know how to work them   the best phone money can buy is the samsung note  ultra ,AndroidEducator,,,United States,en,positive
75,157,59,1312791193286307842,2020-10-04 16:26:25,love the camera on my samsung note    capturesspecialmoments  clearbluesky  pumpkinpatchfun  samsung  android ,kcasaday,,"Fultondale, AL","Gardendale, AL",en,positive
76,158,3357,1312799435211124738,2020-10-04 16:59:10,this was such a fun story to follow   i was  when i got my first cell phone  the samsung silver flip phone with a colored screen  how old were you when you got your first phone    teenmom ,mAnDi06,,"Sioux Falls, SD",New York City ,en,neutral
77,162,5638,1312810178123767808,2020-10-04 17:41:51,you do not have to be a pro to capture stunning photos of the night sky  all you need are the right phone settings   travel photographer shows how to take amazing nighttime  photography with the samsung  galaxys ultra  g   verizontechxperts ,gavingrounds,,,"Austin, TX",en,positive
78,163,5637,1312811723494166528,2020-10-04 17:48:00, having the same problem  using a samsung device,prayeradime12,,,"Oklahoma, USA",en,negative
79,165,3070,1312815888018669569,2020-10-04 18:04:33, thank you  i set the scene and the camera does all the work ,mkostial05,,,"St Louis, MO",en,positive
80,166,4534,1312819647050387458,2020-10-04 18:19:29,that new samsung phone is dumb,BMajors80,,,"Youngstown, Ohio",en,negative
81,170,592,1312832143853314049,2020-10-04 19:09:08," i will not lie  i am still pissed it does not have the note  ultra cameras   a    phone that has superior cameras to a    phone from the same manufacturer makes zero sense to me   samsung logic is retarded ",PSYCHOV3N0M,,,"Queens, NY",en,negative
82,174,1383,1312839651758092290,2020-10-04 19:38:59, i have a samsung   k tv i see i can watch  your channel on samsung tv   so what your schedule says that is what is on,badboynum1,,,"Elizabeth, NJ",en,neutral
83,177,5973,1312846706468220929,2020-10-04 20:07:00,"thank you so many guys and most of you all called my review click bait and did not like it  sum of you all liked it as longs as i helped sum to learn about smart phones  i am happy     review  technology  pixel  pixela  ssamsung yyoutube yyoutube",FamilyUnbox,,"Burnaby, British Columbia",canada,en,positive
84,179,241,1312850747319554050,2020-10-04 20:23:04, not really  it depends  if you are on a recent samsung phone  it will have secure folder in it so you can install apps inside the folder  put a pin or password or face unlock in my case  and hide the folder entirely so it is non existent to everyone else but you ,dillyaali,,,"someone come take me, CA",en,neutral
85,184,1540,1312857211840851968,2020-10-04 20:48:45,i had high expectations for the samsung galaxy note  ultra  but the camera entirely misses the mark for me   what is up with that   fail,sassyteslalady,,,"Hawaii, USA",en,negative
86,185,5972,1312860540100849665,2020-10-04 21:01:59,samsung find my mobile feature now works with offline devices   tech  data cc    ,Harry_Robots,,,"Renton, WA",en,neutral
87,186,3205,1312862944443629570,2020-10-04 21:11:32, on my android phone  i did not have to actually  hold  the space bar  just slide it left and right when you are typing  the cursor appears and moves  samsung s here  hope this helps   ,drdionclark,,,"Fayetteville, NC",en,neutral
88,189,5790,1312864253875978245,2020-10-04 21:16:44, on my android phone  i did not have to actually  hold  the space bar  just slide it left and right when you are typing  the cursor appears and moves  samsung s here  yes i use google keyboard   hope this helps ,drdionclark,,,"Fayetteville, NC",en,neutral
89,190,4531,1312875565440004101,2020-10-04 22:01:41,i cannot believe i texted my fiancé today telling him i m seriously considering switch to samsung but  has been a weird year  anyway the new phone is going to be real cute ,simplysgj,,,"Indiana, USA",en,positive
90,191,1459,1312881442569908225,2020-10-04 22:25:02,love blooms between rival onion cafes in samsung quirky smartphone campaign  ,OnlinewiseSAS,,,"Miami, FL",en,positive
91,193,1835,1312882644586311681,2020-10-04 22:29:49,samsung is now selling a tv that rotates so you can watch portrait mode content  ,ericlaw,,,"Texas, USA",en,neutral
92,194,1458,1312888319555010560,2020-10-04 22:52:22,"set a video as a locked screen wallpaper  it has one of my favorite  recent features   i do not have to hold the screen to play it  auto play  video wallpaper   android  samsung ",_luisadiaz_,,,"Orlando, FL",en,neutral
93,199,1524,1312907883907031040,2020-10-05 00:10:06,reason  of why i love having an android phone  i just dropped it in the tub  like fully submerged  for a good ten seconds because my brain just could not comprehend what i did  still works great    s,RachelVHer,,,"Atlanta, GA",en,positive
94,200,5661,1312908453850087424,2020-10-05 00:12:22, what app do you used to play the music with  i have a samsung phone  pretty old one  and it came with pm,bestbeehave,,,Big Rock Candy Mountain ,en,neutral
95,203,6035,1312915006661562369,2020-10-05 00:38:25, i keep thinking about this and it is a big reason why i want to wait until november ish before i grab quest   watch both headsets play out  also interested in seeing if samsung or valve rolls up from the flank with something new ,Tsukinune,,,Wisconsin,en,neutral
96,204,1992,1312916566548373505,2020-10-05 00:44:36, in my view samsung has done this all on purpose to try and distract from actually hard to solve issues with folding tech  there was no reason for the tiny front screen  now there has no reason for this chunky form factor  fold  will simply get thinner  amp  wider  it has a nice strategy,EspHack,,,us,en,positive
97,205,3353,1312920174819971073,2020-10-05 00:58:57," bts really out here getting me to watch cable again just so i can hear the samsung and hyundai commercials with  dynamite in the background     bts dynamite  btsarmy ",BTSx50States,,,United States,en,neutral
98,209,5448,1312930582976819200,2020-10-05 01:40:18, well  i will watch it man but telling the truth is not popular lol  i cannot even buy a case from samsung  that is crazy  half baked apps with black bars for  grand is crazy  always locking the fingerprint sensor just form grabbing the phone is crazy  not worth  grand at all imho,KingTruckerGA,,,"Atlanta, GA",en,negative
99,210,3352,1312930811541417984,2020-10-05 01:41:13,kind of annoyed that my new phone from is pretty keen on silencing notifications if i have not used the phone in the last however many minutes  ,AstroNerdBoy,,,United States,en,negative
100,211,264,1312933093309726720,2020-10-05 01:50:17,absolutely love the camera on this note  ultra    noteultra  galaxynoteultra  withgalaxy  samsungmembers  denver  colorado ,JComedy1,,,"Denver, CO",en,positive
101,214,3624,1312942212712460290,2020-10-05 02:26:31, yes  that marketing  your phone needs a new physical transmitter  current iphones don t have  some samsung do  and i m on at amp t too ,LionheartNYC,,,"New York, USA",en,neutral
102,218,1683,1312946051909902336,2020-10-05 02:41:46, that was a straight out of camera photo as well ,mkostial05,,,"St Louis, MO",en,neutral
103,219,3351,1312948163746189315,2020-10-05 02:50:10, definitely going to need those fans when your phone catches fire ,toddthedork,,,USA,en,negative
104,220,4391,1312948538452709376,2020-10-05 02:51:39, the new samsung looks sharp and can even pass for a good looking traditional watch  but to have to charge it every  days  damn  that seems like a hassle  i am currently rocking a fit bit charge  that i charge every    days  i do not even remember ,FrankR25191972,,,"Seekonk, MA",en,negative
105,221,1833,1312953510288293889,2020-10-05 03:11:25,i took a screen shot simply by dropping the phone on my boob     samsung  this was not in the user manual,CEEisME,,"Westland, MI","Westland, MI",en,neutral
106,224,4017,1312955914991828992,2020-10-05 03:20:58, i use samsung health app on my phone,VonVitto,,,"Washington, DC",en,neutral
107,226,263,1312956712060514304,2020-10-05 03:24:08, is it at all possible to buy a standalone black stainless steel band that comes with the titanium watch ,Rich_Parkinson,,,"Aurora, CO",en,neutral
108,228,5342,1312963478760706049,2020-10-05 03:51:01, soo my galaxy s  watch blew up on me today  literally out of now where over heated and burnt my wrist and now will not turn on    i have had it for less than  months  what do i do ,phillyfan228,,, Bristol PA,en,negative
109,229,1832,1312967083551006720,2020-10-05 04:05:21, i m not sure  maybe you jostled something inside    if that the case   do you have insurance for it   may be bricked  leave it off for a half day and then charge it  i had a samsung that did the same thing  after half a day something magically reset  i had the phone for years,spacenewspod,,,Vermont,en,negative
110,237,1367,1312988944510988288,2020-10-05 05:32:13,i just updated my phone  samsung basically makes you after a while ,shaydee___,,,NYC ,en,neutral
111,239,1681,1312994744163856384,2020-10-05 05:55:15," this update has killed battery life on the s  camera shutter is lagging and battery is drained so fast   please help ",LoraKaelber,,,Milwaukee,en,negative
112,242,4388,1312998689154179072,2020-10-05 06:10:56,"just came back into my room to find a heavy smoke  after panicking and running around to find the source i look in disbelief how my samsung galaxy s edge burned  be careful with your phones  try to never wear them close to your skin     mobile  smartphone ",ursularodriguez,,,"Maryland, USA",en,negative
113,243,111,1313005952291926016,2020-10-05 06:39:48, my wife screen suddenly went black and could not do anything  we set it aside for   days  the battery went dead and then plugged the charger back in and it came back to life  it has a samsung ,danasdu,,,"Henderson, NV",en,negative
114,247,1522,1313030972435300352,2020-10-05 08:19:13, i would love to have the s note ultra   i am disabled and have a hard time seeing the screen but being on ssdi i will never be able to afford one  ,woody33095,,,"St Augustine, FL",en,positive
115,250,4526,1313045934633291776,2020-10-05 09:18:40,"i expect next samsung fe series phone is going to be snapdragon chipset or with amd gpu   ",Maitreya_45,,,Moon,en,neutral
116,251,5786,1313063191673483265,2020-10-05 10:27:15, um  samsung  told you i was not tech y iiuse a proper camera normally   eelevenses hour,LiliWenFachKnit,,,South Wales,en,neutral
117,256,3110,1313093015888633857,2020-10-05 12:25:45, i have been having trouble with my samsung j mini cut every time its on like    the phone just turns off like power off and when i turn it on it says it on   even tho its on   ,MiguelTank,,,Malta,en,negative
118,257,4525,1313093681361170432,2020-10-05 12:28:24, thank you    also let us thank for this amazing phone with the awesome camera ,TinyRedRabbit,,,Texas,en,positive
119,261,2806,1313107119894343680,2020-10-05 13:21:48,over the weekend i had plenty of  photography fun with the all new  samsung  galaxysfe  withgalaxy i took a  photowalk around my area here in  sheepsheadbay  brooklyn  nyc  has done it again with the sfe  such an incredible device at a great price  ,iamwaynegilbert,,,"Brooklyn, NY",en,positive
120,272,5630,1313118129216786432,2020-10-05 14:05:33,hmm the akg headphones i got with my samsung s  might be starting to go  the left side is noticeably quieter than the right now  not sure how to check if it is a phone issue though ,Mocharaid,,,Scotland,en,negative
121,275,5965,1313123433710936064,2020-10-05 14:26:37, samsung has been making awesome ambled tablets for years ,TravisMcP,,,"Seattle, WA",en,positive
122,277,5446,1313124079424204804,2020-10-05 14:29:11,really like the camera and screen on the new  sfe  samsunggalaxysfe ,ekaddo,,,"Charlotte, NC",en,positive
123,285,234,1313140398324211713,2020-10-05 15:34:02, which device ,SamsungRydah,,,"Los Angeles, CA",en,neutral
124,293,948,1313148000982663169,2020-10-05 16:04:15, you open the gallery on each screen to set as wallpaper individually ,JMillionNYC,,,NYC,en,neutral
125,294,4522,1313149010912448514,2020-10-05 16:08:15, flat screen ,John69149375,,,"Texas, USA",en,neutral
126,301,4631,1313157637182111744,2020-10-05 16:42:32,a phenomenal  android phone  especially for as low as    let start with the camera  a huge selling point ,DealsDT,,,"Portland, OR",en,positive
127,303,4521,1313160477682343939,2020-10-05 16:53:49,"did this on my phone  o the oracle   noteultra  samsung  twitch  twitchstreamer  twitchart  self  art  illustration  digitalart  drawing  twitchgang ",bluebuteo,,,"Texas, USA",en,neutral
128,305,1983,1313162430734893056,2020-10-05 17:01:35, this is on samsung note   ticker is phone ,Everest_ADA,,,United States,en,neutral
129,306,1574,1313163489020719106,2020-10-05 17:05:47, why is it that the note  ultras have been only out for like a month and a half and the screens already screen burn with normal usage ,scpetsche,,,"Dubuque, IA",en,negative
130,307,1982,1313164308919058434,2020-10-05 17:09:03, hey everyone here my  google  chrome book   only been turned on twice camp  now completely dead    hours on the phone camp  no one will do anything  you are all crooks and liars    ripoff  fraud  samsung  best buy ,Breezy531,,,USA,en,negative
131,311,1981,1313169026076610561,2020-10-05 17:27:47, samsung is well on the way of doing that  not solely from their phone sales  the fallout with china is going to make samsung a ton of money ,Sooner_Chiefs,,,United States,en,neutral
132,312,4373,1313169603841884163,2020-10-05 17:30:05, the last camera update for note  is awful  where is my brightness bar  you took it off  stop messing with the useable features ,roodlemagoo,,,"New Jersey, USA",en,negative
133,319,2406,1313179990662549504,2020-10-05 18:11:22,"nothing to watch on tv about to play games on my samsung",TravisShypell,,,"Florida, USA",en,neutral
134,321,5014,1313183968737529857,2020-10-05 18:27:10, i am happy with my galaxy buds that connect to devices via bluetooth  the only time i notice a decrease in quality is if i go outside of the bluetooth range  other than that pretty happy with the product for connecting my laptops and mobile phone  ,BranchBark,,,"Toronto, Ontario",en,positive
135,325,3004,1313187870690160641,2020-10-05 18:42:40, i remember seeing a nova program where the corona virus keeps time with a samsung watch ,D1GGDUGG,,,"Andover, MN",en,neutral
136,327,49,1313190578159579143,2020-10-05 18:53:26, an updated flip phone for you ,XavierEugeneWa1,,,"Augusta, GA",en,neutral
137,333,5530,1313196194211000320,2020-10-05 19:15:45, my dishwasher died  months ago  amp  the support team  including rd party repair service  dragged their feet to run out my warranty  super uncool  every appliance plus smartthings plus phone are all samsung  do not make me hate you  i have been loyal for  years   ,LeahWeisman,,,Louisville,en,negative
138,344,1340,1313212351546499073,2020-10-05 20:19:57, what kind of phone  samsung note ,xBigSumox,,,California,en,neutral
